Year,Start,End,Length,Rainfall
1965,,264,,823.7
1966,141,297,156,1078.7
1967,142,293,151,627.8
1968,139,287,148,1340.9
1969,155,290,135,846
1970,124,276,152,1224.3
1971,132,302,170,1009.2
1972,127,284,157,904.5
1973,159,301,142,1241.7
1974,131,294,163,917.3
1975,138,286,148,1292.7
1976,158,262,104,1277.7
1977,145,298,153,1322.4
1978,112,290,178,826.5
1979,125,290,165,1096.3
1980,156,300,144,910.2
1981,161,296,135,1031
1982,135,266,131,728.3
1983,156,302,146,1129.8
1984,117,283,166,1437.2
1985,133,296,163,1290.8
1986,115,292,177,1105.2
1987,145,293,148,1066.5
1988,117,302,185,1189.8
1989,142,264,122,861.5
1990,172,280,108,899.2
1991,156,299,143,645.5
1992,138,300,162,1115.6
1993,136,270,134,825.2
1994,155,269,114,596.7
1995,141,280,139,1233.8
1996,153,283,130,1447.38
1997,146,283,137,963.1
1998,145,286,141,1612
1999,120,284,164,1022
2000,122,278,156,1237
2001,141,291,150,1619.2
2002,158,275,117,1117.24
2003,180,295,115,829
2004,177,242,65,639.2
2005,132,287,155,1266
2006,136,295,159,1207.1
2007,155,255,100,1037
2008,163,266,103,1087.2
2009,140,291,151,1243
2010,147,283,136,1066.7
2011,165,276,111,1055
2012,163,279,116,1227.8
2013,142,281,139,858.6
2014,162,295,133,1540.8
2015,165,266,101,790.3
2016,,287,,902.3
2017,,287,,902.3
2018,,291,,1571.8
