Year,Start,End,Length,Rainfall
1960,,297,,625.0939999
1961,168,300,132,759.4599991
1962,132,271,139,927.6080008
1963,128,267,139,862.8379998
1964,149,276,127,708.6600003
1965,186,256,70,672.592
1966,163,297,134,1005.331999
1967,199,285,86,589.7879994
1968,161,284,123,816.3560002
1969,188,254,66,480.568
1970,148,256,108,804.417999
1971,168,290,122,541.2739995
1972,171,302,131,589.279999
1973,171,302,131,895.6039999
1974,151,281,130,797.8139999
1975,147,283,136,1287.78
1976,162,270,108,653.5419993
1977,161,278,117,1120.901999
1978,159,290,131,1059.687999
1979,139,293,154,794.2579997
1980,216,270,54,541.6379995
1981,180,275,95,730.7
1982,,254,,393.3000001
1983,151,274,123,1015.4
1984,195,284,89,563.6999996
1985,188,275,87,685.0599995
1986,187,292,105,509.2880001
1987,196,263,67,525.26
1988,201,275,74,815.8199999
1989,186,273,87,493.0299997
1990,184,268,84,758.52
1991,162,268,106,474.5000002
1992,171,294,123,762.2000005
1993,129,272,143,295.5
1994,185,238,53,325.4000001
1995,161,296,135,753.3999999
1996,166,284,118,1028.5
1997,157,266,109,627.9000001
1998,162,284,122,605.8999996
1999,166,286,120,653.8
2000,122,289,167,1256.499999
2001,163,243,80,776.8999999
2002,148,277,129,1027.1
2003,202,276,74,487.1000001
2004,134,302,168,692.2000005
2005,167,285,118,875.7999997
2006,135,304,169,1157.6
2007,118,244,126,868.4999998
2008,141,297,156,810.6999996
2009,164,285,121,829.6000001
2010,143,283,140,680.5000002
2011,150,276,126,846.5000005
2012,163,298,,793.0999997
2013,166,264,98,914.7000003
2014,183,291,108,1127.099999
2015,149,266,117,694.8999994
2016,,279,,979.700001
2017,,288,,825.7999997
