station_id,country_code,station_name,latitude,longitude,elevation,district,met_station_id
baka_agric_research,mw,BAKA AGRIC RESEARCH,-9.93,33.92,488,,
balaka_township,mw,BALAKA TOWNSHIP,-14.98,34.97,625,,
bolero,mw,BOLERO,-11.02,33.78,1100,,
bvumbwe,mw,BVUMBWE,-15.92,35.07,1146,,
bwengu_agric,mw,BWENGU AGRIC,-11.07,33.92,1052,,
chancellor_college,mw,CHANCELLOR COLLEGE,-15.38,35.35,886,,
chichiri,mw,Chichiri,-15.7833,35.05,1141,Blantyre,
chichiri_met,mw,CHICHIRI MET,-15.78,35.05,1132,,
chikangawa,mw,CHIKANGAWA,-11.85,33.8,1728,,
chikwawa_boma,mw,CHIKWAWA BOMA,-16.0333,34.7833,107,,
chileka_agric_lilongwe,mw,CHILEKA AGRIC LILONGWE,-14.02,33.38,1158,,
chileka_airport,mw,CHILEKA AIRPORT,-15.67,34.97,767,,
chingale,mw,CHINGALE,-15.37,35.25,610,,
chintheche_agric,mw,CHINTHECHE AGRIC,-11.83,34.17,480,,
chiradzulu_boma,mw,CHIRADZULU BOMA,-15.7,35.1833,1143,,
chitala,mw,CHITALA,-13.68,34.25,606,,
chitedze,mw,CHITEDZE,-13.97,33.63,1149,,
chitipa,mw,Chitipa,-9.7,33.2667,1278,Chitipa,
chitipa_aerodrome,mw,CHITIPA AERODROME,-9.7,33.27,1285,,
dedza,mw,Dedza,-14.3167,34.25,1630,Dedza,
dedza_met,mw,DEDZA MET,-14.32,34.25,1632,,
dowa_agriculture,mw,DOWA AGRICULTURE,-13.65,33.93,1403,,
dwangwa,mw,DWANGWA,-12.48,34.08,488,,
ekwendeni_agric,mw,EKWENDENI AGRIC,-11.37,33.88,1247,,
emfeni_agric,mw,EMFENI AGRIC,-12.58,33.58,1097,,
euthini,mw,EUTHINI,-11.45,33.42,1143,,
kaluluma_agric,mw,KALULUMA AGRIC,-12.58,33.5,1189,,
kamuzu_airport__kia_,mw,KAMUZU AIRPORT (KIA),-13.78,33.78,1229,,
karonga,mw,Karonga,-9.88333,33.95,529,Karonga,
karonga_airport,mw,KARONGA AIRPORT,-9.88,33.95,529,,
kasinthula,mw,KASINTHULA,-16.08,34.83,90,,
kasiya,mw,KASIYA,-13.77,33.53,1036,,
kasungu,mw,Kasungu,-13.0167,33.4667,1015,Kasungu,
kasungu_aerodrome,mw,KASUNGU AERODROME,-13.02,33.47,1028,,
kia,mw,KIA,-13.7833,33.7833,1229,Lilongwe,
lifuwu_rice_research,mw,LIFUWU RICE RESEARCH,-13.67,34.58,488,,
lupembe,mw,LUPEMBE,-10.07,33.97,488,,
madisi_agric,mw,MADISI AGRIC,-13.42,33.62,1113,,
makanjira,mw,MAKANJIRA,,,,,
makhanga,mw,MAKHANGA,-16.52,35.15,52,,
makoka,mw,MAKOKA,-15.53,35.18,1029,,
malomo_agric,mw,MALOMO AGRIC,-13.13,33.83,1077,,
mangochi,mw,Mangochi,-14.4667,35.25,485,Mangochi,
mangochi_met,mw,MANGOCHI MET,-14.47,35.25,482,,
masambanjati,mw,MASAMBANJATI,-16.22,35.12,959,,
mbawa_agric_research,mw,MBAWA AGRIC RESEARCH,-12.12,33.4,1244,,
mchinji_boma,mw,MCHINJI BOMA,-13.82,32.87,1350,,
mimosa,mw,MIMOSA,-16.07,35.62,652,,
mkanda_agric,mw,MKANDA AGRIC,-13.52,32.95,1219,,
mlangeni_njolomole_agr,mw,MLANGENI NJOLOMOLE AGR,-14.68,34.53,1067,,
mombezi,mw,MOMBEZI,-15.73,35.12,884,,
monkey_bay,mw,Monkey Bay,-14.0833,34.9167,474,Mangochi,
monkey_bay_met,mw,MONKEY BAY MET,-14.08,34.92,482,,
mpemba_vet,mw,MPEMBA VET,-15.88,34.95,900,,
mponela,mw,MPONELA,-13.53,33.75,1036,,
mulanje_boma,mw,MULANJE BOMA,-16.0667,35.5333,686,,
mwanza_boma,mw,MWANZA BOMA,-15.65,34.98,678,,
mwimba_agric_research,mw,MWIMBA AGRIC RESEARCH,-13.08,33.45,1097,,
mzimba,mw,Mzimba,-11.9,33.6,1349,Mzimba,
mzimba_aerodrome,mw,MZIMBA AERODROME,-11.9,33.6,1349,,
mzuzu,mw,Mzuzu,-11.4333,34.0167,1251,Mzimba,
mzuzu_aerodrome,mw,MZUZU AERODROME,-11.43,34.02,1254,,
naminjiwa_agric_,mw,NAMINJIWA AGRIC.,-15.77,35.62,773,,
namwera,mw,NAMWERA,-14.37,35.5,899,,
nankumba,mw,NANKUMBA,-14.35,34.8,518,,
nathenje,mw,NATHENJE,-14.08,33.92,1448,,
nchalo_sucoma,mw,NCHALO SUCOMA,-16.23,34.93,64,,
neno_boma,mw,NENO BOMA,-15.4,34.65,899,,
ngabu,mw,Ngabu,-16.5,34.95,102,Chikwawa,
ngabu_met,mw,NGABU MET,-16.5,34.95,102,,
nkhata_bay,mw,Nkhata Bay,-11.6,34.3,500,Nkhata Bay,
nkhatabay_met,mw,NKHATABAY MET,-11.6,34.3,500,,
nkhotakota,mw,Nkhotakota,-12.9167,34.2833,500,Nkhotakota,
nkhotakota_aerodrome,mw,NKHOTAKOTA AERODROME,-12.92,34.28,500,,
nsanje,mw,NSANJE,-16.95,35.27,60,,
ntaja,mw,Ntaja,-14.8667,35.5333,740,Mahinga,
ntaja_met,mw,NTAJA MET,-14.87,35.53,731,,
ntcheu_nkhande,mw,NTCHEU NKHANDE,-14.78,34.58,1162,,
ntchisi_agric,mw,NTCHISI AGRIC,-13.3,34.2,1350,,
phalula_agric,mw,PHALULA AGRIC,-15.22,34.95,579,,
rumphi_boma,mw,RUMPHI BOMA,-11.03,33.87,1067,,
salima,mw,Salima,-13.75,34.5833,513,Salima,
salima_airport,mw,SALIMA AIRPORT,-13.75,34.58,512,,
tembwe_agric,mw,TEMBWE AGRIC,-13.92,33.07,1097,,
thuchila_agric,mw,THUCHILA AGRIC,-15.95,35.25,701,,
thyolo_met,mw,THYOLO MET,-16.13,35.13,820,,
vinthukutu_agric,mw,VINTHUKUTU AGRIC,-10.42,34.2,579,,
walkers_ferry,mw,WALKERS FERRY,-15.52,34.83,394,,
zomba_agric_new_,mw,ZOMBA AGRIC(NEW),-15.4,35.32,915,,
kasungu,mw_workshops,Kasungu,-13.02,33.47,1300,Kasungu,
nkhotakota,mw_workshops,Nkhotakota,-12.9,34.28,500,Nhkotakota,
chinsali_ftc,zm,CHINSALI FTC,-10.56,32.06,1404,CHINSALI,
chipata_met,zm,CHIPATA MET,-13.55,32.58,1032,CHIPATA,
chipepo_met,zm,CHIPEPO MET,-17.33,28.38,488,GWEMBE,
choma_met,zm,CHOMA MET,-16.85,27.06,1267,CHOMA,
isoka_met,zm,ISOKA MET,-10.16,32.63,1360,ISOKA,
kabompo_met,zm,KABOMPO MET,-13.6,24.2,1075,KABOMPO,
kabwe_agro,zm,KABWE AGRO,-14.44,28.46,1204,KABWE,
kabwe_met,zm,KABWE MET,-14.41,28.48,1165,KABWE,
kafironda_agromet,zm,KAFIRONDA AGROMET,-12.6,28.11,1243,MUFULIRA,
kafue_polder,zm,KAFUE POLDER,-15.76,27.91,987,MAZABUKA,
kalabo_met,zm,KALABO MET,-14.95,22.7,1053,KALABO,
kaoma_met,zm,KAOMA MET,-14.8,24.8,1152,KAOMA,
kasama_met,zm,KASAMA MET,-10.21,31.13,1384,KASAMA,
kasempa_met,zm,KASEMPA MET,-13.53,25.85,1134,KASEMPA,
kawambwa_met,zm,KAWAMBWA MET,-9.8,29.08,1324,KAWAMBWA,
livingstone_met,zm,LIVINGSTONE MET,-17.81,25.81,986,LIVINGSTONE,
lundazi_met,zm,LUNDAZI MET,-12.28,33.2,1143,LUNDAZI,
lusaka_city_airpor,zm,LUSAKA CITY AIRPOR,-15.41,28.31,1252,LUSAKA,
lusaka_int__airpor,zm,LUSAKA INT. AIRPOR,-15.31,28.45,1154,LUSAKA,
magoye_agromet,zm,MAGOYE AGROMET,-16.13,27.63,1018,MONZE,
mansa_agro,zm,MANSA AGRO,-11.24,28.95,1238,MANSA,
mansa_met,zm,MANSA MET,-11.1,28.85,1259,MANSA,
mbala_met,zm,MBALA MET,-8.85,31.33,1673,MBALA,
mfuwe_met,zm,MFUWE MET,-13.26,31.93,570,MAMBWE,
misamfu_agromet,zm,MISAMFU AGROMET,-10.18,31.21,1535,KASAMA,
mkushi_met,zm,MKUSHI MET,-14,30.33,1250,MKUSHI,
mongu_met,zm,MONGU MET,-15.25,23.15,1053,MONGU,
mpika_met,zm,MPIKA MET,-11.75,31.43,1402,MPIKA,
mpulungu_met,zm,MPULUNGU MET,-8.76,31.1,790,Mpulungu,
msekera_agromet,zm,MSEKERA AGROMET,-13.65,32.56,1025,CHIPATA,
mt__makulu_agrome,zm,MT. MAKULU AGROME,-15.55,28.25,1213,CHILANGA,
mumbwa_met,zm,MUMBWA MET,-14.98,27.06,1218,MUMBWA,
mwinilunga_met,zm,MWINILUNGA MET,-11.75,24.43,1363,MWINILUNGA,
ndola_met,zm,NDOLA MET,-13,28.65,1270,NDOLA,
petauke_met,zm,PETAUKE MET,-14.25,31.28,1036,PETAUKE,
samfya_met,zm,SAMFYA MET,-11.35,29.53,1172,SAMFYA,
senanga_met,zm,SENANGA MET,-16.11,23.26,1027,SENANGA,
serenje_agro_met,zm,SERENJE AGRO MET,-13.23,30.21,1384,SERENJE,
sesheke_met,zm,SESHEKE MET,-17.46,24.3,951,SESHEKE,
simon_mwansa_kapwepwe,zm,SIMON MWANSA KAPWEPWE,-12.97,28.51,1324,Ndola,
solwezi_met,zm,SOLWEZI MET,-12.18,26.38,1333,SOLWEZI,
zambezi_met,zm,ZAMBEZI MET,-13.53,23.11,1078,ZAMBEZI,
chipata_met,zm_workshops,Chipata Met,-13.6,32.6,1025,Chipata,
lundazi_met,zm_workshops,Lundazi Met,-12.28,33.2,1143,Lundazi,
mansa_met,zm_workshops,MANSA MET,-11.1,28.85,1259,Mansa,
mfuwe_met,zm_workshops,Mfuwe Met,-13.26,31.93,570,Mambwe,
msekera_agromet,zm_workshops,Msekera Agromet,-13.65,32.56,1025,Chipata,
petauke_met,zm_workshops,Petauke Met,-14.25,31.28,1036,Petauke,
beitbridge,zw,Beitbridge,-22.217,30,456,Matabeleland South,67991020
