country_code,location_id,water_requirements,station_id
mw,kasungu,"{""beans"":{""NUA"":195,""KALIMA"":250,""NASAKA"":225,""KANZAMA"":265,""BUNDA-93"":250,""NAPILIRA"":250,""CHIMBAMBA"":250,""NAMAJENGO"":250,""KALINTSIRO"":250,""KHOLOPHETE"":265,""SAPEREKEDWA"":250},""maize"":{""MH-18"":335,""MH-26"":390,""MH-27"":390,""MH-28"":390,""MH-30"":390,""MH-31"":390,""MH-32"":390,""MH-33"":390,""MH-34"":390,""MH-35"":390,""MH-36"":390,""MH-37"":390,""MH-38"":390,""DK-777"":335,""MH-39A"":335,""MH-40A"":335,""MH-42A"":335,""MH-43A"":335,""MR-634"":380,""PAN-12"":335,""PAN-53"":365,""PAN-57"":390,""PAN-63"":390,""PAN-67"":365,""PAN-77"":390,""SC-304"":250,""SC-403"":310,""SC-419"":310,""SC-423"":310,""SC-513"":335,""SC-537"":335,""SC-600"":365,""SC-719"":420,""SC-725"":420,""ZM-309"":335,""ZM-523"":335,""ZM-623"":390,""ZM-721"":390,""DK-8031"":335,""DK-8033"":310,""DK-8053"":390,""DK-9089"":365,""KC-9089"":390,""MRI-455"":350,""MRI-514"":350,""MRI-614"":380,""MRI-624"":380,""MRI-744"":390,""P-3812W"":390,""CAP-9001"":390,""DK-81-81"":390,""DKC-8033"":335,""DKC-8071"":390,""DKC-8073"":390,""PAN-6777"":310,""PAN-3M-01"":335,""PAN-4M-19"":390,""PAN-4M-21"":365,""PAN-5M-35"":365,""PAN-7M-81"":390,""PAN-7M-89"":335,""PAN-8M-93"":335,""PEACOCK-10"":390,""PHB-30-D79"":380,""PHB-30-G-19"":380,""CHITEDZE-2QPM"":390},""cowpeas"":{""SUDAN-1"":250,""IT-82E-16"":250},""groundnuts"":{""G-7"":390,""BAKA"":335,""CG-7"":295,""CG-9"":365,""CG-10"":365,""CG-11"":365,""CG-12"":280,""CG-13"":310,""CG-14"":310,""KAKOMA"":335,""CHITALA"":280,""MSINJIRO"":390,""CHALIMBANA"":390},""soya-beans"":{""NASOKO"":405,""SOPRANO"":370,""MAKWACHA"":405,""PAN-1867"":370,""TIKOLORE"":340,""OCEPARA-4"":405,""SC-SEQUEL"":405,""SC-SQUIRE"":405,""SOLITAIRE"":405,""SC-SERENADE"":370},""sweet-potatoes"":{""KENYA"":450,""KAKOMA"":450,""SALERA"":450,""SEMUSA"":450,""CHIPIKA"":450,""MUGAMBA"":450,""NYAMOYO"":450,""SUNGANI"":450,""ZONDENI"":450,""MATHUTHU"":450,""KAPHULIRA"":315,""ANAAKWANIRE"":450,""SAKANANTHAKA"":450,""KADYAUBWELERE"":450}}",mw/kasungu
mw,nkhotakota,"{""rice"":{""FAYA"":415,""NERICA"":460,""KILOMBERO"":415},""beans"":{""NUA"":245,""NAPILIRA"":305,""CHIMBAMBA"":290,""KHOLOPHETE"":270},""maize"":{""MH-18"":395,""MH-26"":460,""MH-27"":460,""MH-28"":460,""MH-38"":460,""MH-39A"":395,""MH-40A"":395,""MH-42A"":395,""MH-43A"":395,""PAN-53"":480,""PAN-57"":475,""PAN-63"":475,""PAN-67"":445,""SC-304"":265,""SC-403"":295,""SC-419"":295,""SC-423"":295,""SC-513"":395,""SC-537"":380,""SC-600"":420,""SC-719"":520,""SC-725"":520,""ZM-309"":365,""ZM-523"":395,""ZM-623"":460,""ZM-721"":460,""DK-8031"":380,""DK-8033"":295,""DK-8053"":460,""DK-9089"":395,""KC-9089"":460,""P-3812W"":460,""CAP-9001"":460,""DK-81-81"":460,""DKC-8033"":395,""DKC-8071"":460,""DKC-8073"":460,""PAN-6777"":295,""PAN-4M-19"":460,""PAN-4M-21"":490,""PAN-7M-89"":395,""PHB-30D79"":445,""PHB-30G19"":445,""PEACOCK-10"":460,""CHITEDZE-2QPM"":460},""cowpeas"":{""SUDAN-1"":305,""IT-82E-16"":305},""groundnuts"":{""CG-7"":355,""MSINJIRO"":410,""CHALIMBANA"":510},""soya-beans"":{""MAKWACHA"":350,""TIKOLORE"":350,""OCEPARA-4"":355,""SANTA-ROSA"":355},""pigeon-peas"":{""SAUMA"":750,""KACHANGU"":645,""ICPL-87015"":430,""ICPL-93026"":430},""sweet-potatoes"":{""KENYA"":540,""KAKOMA"":540,""SALERA"":540,""SEMUSA"":540,""CHIPIKA"":540,""MUGAMBA"":540,""NYAMOYO"":540,""SUNGANI"":540,""ZONDENI"":540,""MATHUTHU"":540,""ANAAKWANIRE"":540,""SAKANANTHAKA"":540,""KADYAUBWELERE"":540}}",mw/nkhotakota
zm,chadiza,"{""beans"":{""MBERESHI"":330,""KABULANGETI"":310,""LUNGWE-BUNGWE"":350},""maize"":{""AF635"":480,""AF638"":480,""MRI624"":510,""PAN-53"":490,""SC-419"":480,""SC-555"":490,""SC-608"":535,""SC-637"":515,""SC-647"":490,""SC-657"":520,""SC-719"":570,""SY4052"":435,""SY5054"":475,""SY5944"":510,""SY6444"":510,""ETG-401"":405,""ETG-601"":490,""MRI-514"":475,""ZMS-405"":400,""ZMS-606"":490,""DKC80-33"":425,""LAKE-401"":490,""LAKE-601"":535,""PHB30G19"":455,""DKC-80-23"":435},""cowpeas"":{""LUTEMBWE"":395},""sorghum"":{""KUYUMA"":365},""sunflower"":{""SAONA"":385,""MILIKA"":420},""groundnuts"":{""MGV4"":545,""MGV5"":515,""MGV8"":500,""CHISHANGO"":500,""WAMUSANGA"":350,""CHALIMBANA"":545},""soya-beans"":{""DINA"":555,""KAFUE"":420,""MAGOYE"":525,""SC-SPIKE"":505}}",zm/chipata_met
zm,chipangali,"{""maize"":{""DK777"":445,""PAN-53"":490,""SC-419"":480,""SC-627"":510,""SC-637"":510,""SC-647"":490,""SY6444"":510,""SY-5944"":490,""ZMS-606"":490,""ZMS-638"":490,""LAKE-601"":535,""PHB-3812"":535,""PHB-30G19"":455},""cowpeas"":{""BUBEBE"":260,""LUTEMBWE"":395,""MUSANDILE"":255},""sunflower"":{""MILIKA"":420},""groundnuts"":{""MGV4"":545,""MGV5"":515}}",zm/chipata_met
zm,chipata,"{""maize"":{""DK777"":445,""PAN-53"":490,""SC-419"":480,""SC-627"":510,""SC-637"":510,""SC-647"":490,""SC-719"":555,""SY6444"":510,""ADV-637"":510,""ZMS-638"":490,""LAKE-601"":525,""PHB-3812"":535,""PHB-30G19"":455},""cotton"":{""CDT-II"":665},""cowpeas"":{""BUBEBE"":260,""LUTEMBWE"":395,""MUSANDILE"":255},""sunflower"":{""MILIKA"":420},""groundnuts"":{""MGV5"":515},""soya-beans"":{""DINA"":555,""KAFUE"":420}}",zm/chipata_met
zm,kasenengwa,"{""maize"":{""DK777"":445,""PAN-53"":490,""SC-419"":480,""SC-627"":510,""SC-637"":510,""SC-647"":490,""SY6444"":510,""SY-5944"":490,""ZMS-606"":490,""ZMS-638"":490,""LAKE-601"":535,""PHB-3812"":535,""PHB-30G19"":455},""cowpeas"":{""BUBEBE"":260,""LUTEMBWE"":395,""MUSANDILE"":255},""sunflower"":{""MILIKA"":420},""groundnuts"":{""MGV4"":545,""MGV5"":520,""CHISHANGO"":500,""WAMUSANGA"":350}}",zm/chipata_met
zm,katete,"{""beans"":{""LWANGENI"":385,""MBERESHI"":330,""KABULANGETI"":310,""LUNGWE-BUNGWE"":350},""maize"":{""AF635"":480,""AF638"":480,""DK777"":445,""M-401"":405,""M-601"":490,""P-3812"":535,""P2848W"":425,""PAN-53"":490,""SC-303"":395,""SC-419"":480,""SC-555"":490,""SC-637"":510,""SC-647"":510,""ADV-637"":510,""KKS-601"":535,""KKS-603"":440,""KKS-609"":525,""MRI-514"":490,""MRI-624"":510,""PAN-413"":425,""SY-4052"":450,""SY-5054"":490,""SY-5944"":490,""SY-6250"":510,""SY-6444"":510,""ZMS-301"":375,""ZMS-405"":400,""ZMS-520"":475,""ZMS-606"":490,""ZMS-620"":510,""ZMS-638"":490,""DKC80-33"":425,""DKC90-89"":480,""LAKE-401"":490,""LAKE-601"":525,""LAKE-606"":525,""DKC-80-23"":440,""PAN-3M-05"":395,""PAN-4M-11"":425,""PAN-4M-23"":405,""PAN-7M-81"":545,""PAN-7M-83"":500,""PHB-30G19"":455},""cowpeas"":{""LUTEMBWE"":395,""MUSANDILE"":255},""sunflower"":{""SAONA"":385,""MILIKA"":420},""groundnuts"":{""MGV4"":545,""MGV5"":515,""MGV8"":500,""WAMUSANGA"":340,""NATAL-COMMON"":380},""soya-beans"":{""DINA"":555,""KAFUE"":475,""MAGOYE"":525,""SAFARI"":495,""LUKANGA"":540,""MWENEZI"":505}}",zm/chipata_met
zm,nyimba,"{""beans"":{""LUANGENI"":385,""MBERESHI"":330,""KABULANGETI"":310,""LUNGWE-BUNGWE"":350},""maize"":{""AF635"":480,""AF638"":480,""DK777"":445,""KKS607"":490,""P3506W"":520,""PAN-53"":490,""SC-303"":415,""SC-403"":460,""SC-419"":480,""SC-555"":490,""SC-637"":510,""SC-647"":490,""SC-657"":515,""SC-719"":570,""SC-733"":580,""WH-101"":435,""WH-507"":505,""MRI-624"":510,""P-3812W"":535,""PAN-413"":425,""SY-4052"":450,""SY-5054"":490,""SY-5944"":490,""SY-6444"":510,""ZMS-301"":315,""ZMS-520"":475,""ZMS-606"":490,""ZMS-620"":510,""ZMS-638"":490,""ZMS-721"":560,""DKC80-33"":425,""DKC90-89"":480,""LAKE-401"":490,""LAKE-601"":535,""DKC-80-23"":440,""PAN-3M-05"":395,""PAN-4M-11"":425,""PAN-7M-81"":510,""PAN-7M-83"":500,""PHB-30G19"":455},""cowpeas"":{""BUBEBE"":260,""LUTEMBWE"":395,""MUSANDILE"":255},""sorghum"":{""NSIMA"":400,""KUYUMA"":365},""sunflower"":{""SAONA"":385,""MILIKA"":420},""groundnuts"":{""MGV4"":545,""MGV5"":515,""LUPANDE"":380,""CHALIMBANA"":545,""NATAL-COMMON"":380},""soya-beans"":{""DINA"":555,""KAFUE"":420,""SPIKE"":535},""sweet-potatoes"":{""NSENGA"":430,""OLYMPIA"":430,""ZAMBEZI"":430,""MAKONONGO"":430,""MWANIBYALILANJI"":430,""ORANGE-CHINGOVWA"":430}}",zm/petauke_met
zm,petauke,"{""beans"":{""MBERESHI"":330,""KABULANGETI"":310,""LUNGWE-BUNGWE"":350},""maize"":{""AF635"":480,""AF638"":480,""DK777"":445,""P3506"":520,""SC657"":515,""KKS607"":490,""MRI624"":510,""P2848W"":425,""PAN-53"":490,""SC-303"":395,""SC-403"":485,""SC-419"":480,""SC-555"":490,""SC-637"":515,""SC-647"":490,""SC-719"":570,""SY5944"":510,""WH-101"":435,""WH-403"":465,""ZM-405"":400,""ADV-637"":510,""ETG-401"":405,""KKS-603"":465,""KKS-609"":525,""P-3812W"":535,""PAN-413"":425,""SY-4052"":450,""SY-5054"":490,""SY-6250"":510,""SY-6444"":510,""ZMS-301"":315,""ZMS-520"":475,""ZMS-620"":510,""ZMS-638"":490,""ZMS-720"":560,""ZMS-721"":560,""DKC80-33"":425,""DKC90-89"":480,""LAKE-401"":490,""LAKE-601"":525,""LAKE-606"":535,""DKC-80-23"":440,""PAN-7M-81"":545,""PHB-30G19"":455},""sunflower"":{""SAONA"":385,""MILIKA"":420},""groundnuts"":{""MGV4"":550,""MGV5"":515,""MGV8"":500,""CHALIMBANA"":550},""soya-beans"":{""DINA"":555,""KAFUE"":420,""MAGOYE"":525,""SAFARI"":495,""LUKANGA"":540,""SC-SPIKE"":530},""sweet-potatoes"":{""OFSP"":430,""ORANGE"":430}}",zm/petauke_met
zm,sinda,"{""beans"":{""KABULANGETI"":310},""maize"":{""AF635"":480,""AF638"":480,""DK777"":445,""KKS607"":465,""P-3812"":535,""P2848W"":425,""PAN-53"":490,""SC-303"":370,""SC-403"":460,""SC-419"":480,""SC-555"":490,""SC-637"":510,""SC-647"":490,""SC-657"":515,""SC-719"":570,""SY5944"":510,""WH-507"":500,""ADV-637"":510,""KKS-603"":440,""MRI-624"":510,""PAN-413"":425,""SY-4052"":450,""SY-5054"":425,""SY-5944"":490,""SY-6444"":510,""ZMS-301"":270,""ZMS-405"":395,""ZMS-520"":475,""ZMS-606"":490,""ZMS-620"":515,""ZMS-638"":490,""DKC80-33"":425,""DKC90-89"":480,""LAKE-401"":490,""LAKE-601"":525,""DKC-80-23"":440,""PAN-3M-05"":370,""PAN-4M-11"":425,""PAN-4M-23"":425,""PAN-7M-83"":500,""PHB-30G19"":455},""millet"":{""PEARL"":270,""FINGER"":425},""cowpeas"":{""LUTEMBWE"":395,""MUSANDILE"":255},""sunflower"":{""MILIKA"":420},""groundnuts"":{""MGV4"":545,""MGV5"":515,""CHALIMBANA"":545},""soya-beans"":{""DINA"":555,""KAFUE"":420,""SPIKE"":505,""MAGOYE"":525,""SAFARI"":495,""LUKANGA"":540},""sweet-potatoes"":{""OFSP"":430,""SOLWEZI"":430}}",zm/petauke_met
