crop,variety,maturity_period,days_lower,days_upper,additional_info,additional_data,country_code
beans,BUNDA-93,,90,90,,{},mw
beans,BWENZILA-ANA,,85,85,,{},mw
beans,CHIMBAMBA,,90,90,,"{""days_comment"":""Noted ranges across stations: 90-90 (23 stations); 85-85 (9 stations)""}",mw
beans,KALIMA,,90,90,,{},mw
beans,KALINTSIRO,,90,90,,{},mw
beans,KANZAMA,,95,95,,{},mw
beans,KHOLOPHETE,,95,95,,"{""days_comment"":""Noted ranges across stations: 95-95 (23 stations); 80-80 (5 stations)""}",mw
beans,NAMAJENGO,,90,90,,{},mw
beans,NAPILIRA,,90,90,,{},mw
beans,NASAKA,,80,80,,{},mw
beans,NUA,,70,70,,{},mw
beans,SAPEREKEDWA,,90,90,,{},mw
cassava,CHAMANDANDA,,360,360,,"{""days_comment"":""Noted ranges across stations: 360-360 (18 stations); 300-300 (8 stations); 450-450 (2 stations: salima--airport_met, salima--chitala_met)""}",mw
cassava,FAYA-14-M-49,,150,150,,{},mw
cassava,KALAWE,,360,360,,"{""days_comment"":""Noted ranges across stations: 360-360 (18 stations); 300-300 (8 stations); 450-450 (2 stations: salima--airport_met, salima--chitala_met)""}",mw
cassava,MANYOKOLA,,360,360,,"{""days_comment"":""Noted ranges across stations: 360-360 (18 stations); 300-300 (8 stations); 450-450 (2 stations: salima--airport_met, salima--chitala_met)""}",mw
cassava,MPALE,,360,360,,"{""days_comment"":""Noted ranges across stations: 360-360 (18 stations); 300-300 (8 stations); 450-450 (2 stations: salima--airport_met, salima--chitala_met)""}",mw
cassava,MTUPATUPA,,130,130,,{},mw
cassava,SAGONJA,,450,450,,{},mw
cassava,SAUTI,,450,450,,{},mw
cotton,MAHYCO-570,,170,170,,{},mw
cotton,MAHYCO-571,,170,170,,{},mw
cotton,MAHYCO-C-569,,170,170,,{},mw
cotton,MAHYCO-C-577,,160,160,,{},mw
cowpeas,IT-82E-16,,90,90,,{},mw
cowpeas,NKANAUFITI,,90,90,,{},mw
cowpeas,OCEPARA-4,,95,95,,{},mw
cowpeas,SANTA-ROSA,,95,95,,{},mw
cowpeas,SUDAN-1,,90,90,,{},mw
groundnuts,BAKA,,120,120,,{},mw
groundnuts,CG-10,,130,130,,"{""days_comment"":""Noted ranges across stations: 130-130 (23 stations); 110-110 (3 stations: salima--airport_met, salima--chipoka_met, salima--chitala_met)""}",mw
groundnuts,CG-11,,130,130,,"{""days_comment"":""Noted ranges across stations: 130-130 (23 stations); 110-110 (3 stations: salima--airport_met, salima--chipoka_met, salima--chitala_met)""}",mw
groundnuts,CG-12,,100,100,,"{""days_comment"":""Noted ranges across stations: 100-100 (23 stations); 110-110 (3 stations: salima--airport_met, salima--chipoka_met, salima--chitala_met)""}",mw
groundnuts,CG-13,,110,110,,{},mw
groundnuts,CG-14,,110,110,,{},mw
groundnuts,CG-7,,105,105,,"{""days_comment"":""Noted ranges across stations: 105-105 (27 stations); 130-130 (2 stations: chikwawa--mitole, chikwawa--mitole_met_station); 110-110 (1 station: salima--chipoka_met)""}",mw
groundnuts,CG-8,,110,110,,{},mw
groundnuts,CG-9,,130,130,,"{""days_comment"":""Noted ranges across stations: 130-130 (23 stations); 110-110 (3 stations: salima--airport_met, salima--chipoka_met, salima--chitala_met)""}",mw
groundnuts,CHALIMBANA,,140,140,,"{""days_comment"":""Noted ranges across stations: 140-140 (23 stations); 150-150 (6 stations); 130-130 (2 stations: chikwawa--mitole, chikwawa--mitole_met_station)""}",mw
groundnuts,CHITALA,,100,100,,{},mw
groundnuts,G-7,,140,140,,{},mw
groundnuts,KAKOMA,,120,120,,{},mw
groundnuts,LOCAL-VARIETY,,115,115,,{},mw
groundnuts,MALIMBA,,120,120,,"{""days_comment"":""Noted ranges across stations: 120-120 (2 stations: chapananga--chapananga, chikwawa--chapananga); 100-100 (2 stations: chikwawa--mitole, chikwawa--mitole_met_station); 85-85 (1 station: chikwawa--nchalo)""}",mw
groundnuts,MSINJIRO,,140,140,,"{""days_comment"":""Noted ranges across stations: 140-140 (17 stations); 120-120 (5 stations); 130-130 (4 stations: chiradzulu--mikolongwe, chiradzulu--mombezi, chiradzulu--mulombozi, chiradzulu--nalusu)""}",mw
maize,CAP-9001,,140,140,,{},mw
maize,CHITEDZE-2QPM,,140,140,,{},mw
maize,DK-777,,120,120,,"{""days_comment"":""Noted ranges across stations: 120-120 (17 stations); 140-140 (1 station: dedza--dedza); 160-160 (1 station: dedza--lobi)""}",mw
maize,DK-8031,,120,120,,"{""days_comment"":""Noted ranges across stations: 120-120 (19 stations); 115-115 (9 stations)""}",mw
