id,forecast_type,country_code,language_code,storage_file,mimetype,label,downscaled_location,location
zmd-downscaled-eastern-2025-26.pdf,downscaled,zm,zm_en,zm/forecasts/downscaled/2025-26/zmd-downscaled-eastern-2025-26.pdf,application/pdf,2025 - 2026,eastern,[]
zmd-downscaled-eastern-2025-26.nya.pdf,downscaled,zm,zm_ny,zm/forecasts/downscaled/2025-26/zmd-downscaled-eastern-2025-26.nya.pdf,application/pdf,2025 - 2026,eastern,[]
zmd-downscaled-southern-2025-26.pdf,downscaled,zm,zm_en,zm/forecasts/downscaled/2025-26/zmd-downscaled-southern-2025-26.pdf,application/pdf,2025 - 2026,southern,[]
zmd-downscaled-luapula-2025-26.pdf,downscaled,zm,zm_en,zm/forecasts/downscaled/2025-26/zmd-downscaled-luapula-2025-26.pdf,application/pdf,2025 - 2026,luapula,[]
c139d571-723c-4013-8246-28b0a291becf,seasonal,zm,zm_en,zm/forecasts/ZMD Seasonal forecast 2025-26.pdf,application/pdf,2025 - 2026,,[]
2025/downscaled/balaka/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/balaka.mw_en.pdf,application/pdf,2025 - 2026,balaka,[]
2025/downscaled/balaka/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/balaka.mw_ny.pdf,application/pdf,2025 - 2026,balaka,[]
2025/downscaled/blantyre/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/blantyre.mw_en.pdf,application/pdf,2025 - 2026,blantyre,[]
2025/downscaled/blantyre/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/blantyre.mw_ny.pdf,application/pdf,2025 - 2026,blantyre,[]
2025/downscaled/chikwawa/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/chikwawa.mw_en.pdf,application/pdf,2025 - 2026,chikwawa,[]
2025/downscaled/chikwawa/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/chikwawa.mw_ny.pdf,application/pdf,2025 - 2026,chikwawa,[]
2025/downscaled/chiradzulu/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/chiradzulu.mw_en.pdf,application/pdf,2025 - 2026,chiradzulu,[]
2025/downscaled/chiradzulu/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/chiradzulu.mw_ny.pdf,application/pdf,2025 - 2026,chiradzulu,[]
2025/downscaled/chitipa/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/chitipa.mw_en.pdf,application/pdf,2025 - 2026,chitipa,[]
2025/downscaled/chitipa/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/chitipa.mw_ny.pdf,application/pdf,2025 - 2026,chitipa,[]
2025/downscaled/dedza/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/dedza.mw_en.pdf,application/pdf,2025 - 2026,dedza,[]
2025/downscaled/dedza/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/dedza.mw_ny.pdf,application/pdf,2025 - 2026,dedza,[]
2025/downscaled/dowa/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/dowa.mw_en.pdf,application/pdf,2025 - 2026,dowa,[]
2025/downscaled/dowa/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/dowa.mw_ny.pdf,application/pdf,2025 - 2026,dowa,[]
2025/downscaled/karonga/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/karonga.mw_en.pdf,application/pdf,2025 - 2026,karonga,[]
2025/downscaled/karonga/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/karonga.mw_ny.pdf,application/pdf,2025 - 2026,karonga,[]
2025/downscaled/kasungu/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/kasungu.mw_en.pdf,application/pdf,2025 - 2026,kasungu,[]
2025/downscaled/kasungu/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/kasungu.mw_ny.pdf,application/pdf,2025 - 2026,kasungu,[]
2025/downscaled/likoma/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/likoma.mw_en.pdf,application/pdf,2025 - 2026,likoma,[]
2025/downscaled/likoma/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/likoma.mw_ny.pdf,application/pdf,2025 - 2026,likoma,[]
2025/downscaled/lilongwe/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/lilongwe.mw_en.pdf,application/pdf,2025 - 2026,lilongwe,[]
2025/downscaled/lilongwe/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/lilongwe.mw_ny.pdf,application/pdf,2025 - 2026,lilongwe,[]
2025/downscaled/machinga/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/machinga.mw_en.pdf,application/pdf,2025 - 2026,machinga,[]
2025/downscaled/machinga/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/machinga.mw_ny.pdf,application/pdf,2025 - 2026,machinga,[]
2025/downscaled/mangochi/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/mangochi.mw_en.pdf,application/pdf,2025 - 2026,mangochi,[]
2025/downscaled/mangochi/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/mangochi.mw_ny.pdf,application/pdf,2025 - 2026,mangochi,[]
2025/downscaled/mchinji/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/mchinji.mw_en.pdf,application/pdf,2025 - 2026,mchinji,[]
2025/downscaled/mchinji/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/mchinji.mw_ny.pdf,application/pdf,2025 - 2026,mchinji,[]
2025/downscaled/mulanje/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/mulanje.mw_en.pdf,application/pdf,2025 - 2026,mulanje,[]
2025/downscaled/mulanje/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/mulanje.mw_ny.pdf,application/pdf,2025 - 2026,mulanje,[]
