id,resource_file_id,created_at,modified_at,description,storage_file,external_url,cover_image,title,language_code,country_code,sort_order,filename,size_kb,mimetype,md5_checksum
picsa_manual_chichewa,picsa_manual,2024-04-05 15:30:18.009296+00,2024-04-05 15:30:18.009296+00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/picsa%2Fmanuals%2Fpicsa-manual-chichewa.pdf?alt=media&token=d03031db-9e83-4a0a-a5be-7c3d1d42f98b,,Buku la PICSA (Extension),chichewa,,1,picsa-manual-chichewa.pdf,2000,application/pdf,80d3b08815a41c1124aab095b3fd4b8f
picsa_manual_chichewa_farmer,picsa_manual,2024-04-05 15:30:18.009296+00,2024-04-05 15:30:18.009296+00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/picsa%2Fmanuals%2Fpicsa-manual-chichewa-farmer.pdf?alt=media&token=c43a2f2a-ae68-49b9-bb15-31ad788c48d5,,Buku la PICSA (Farmer),chichewa,,1,picsa-manual-chichewa-farmer.pdf,4331,application/pdf,21916722d4cbfc6e27ea15fb2f03145a
picsa_manual_farmer,picsa_manual,2024-04-05 15:30:18.009296+00,2024-04-05 15:30:18.009296+00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/picsa%2Fmanuals%2Fpicsa-manual-farmer.pdf?alt=media&token=92ddbd84-7ae8-44d5-ac27-5876e92fab37,,PICSA Manual (Farmer),english,,1,picsa-manual-farmer.pdf,1184,application/pdf,7d191f7148a023ac812daa0a2dd2826c
picsa_manual_tajik,picsa_manual,2024-04-05 15:30:18.009296+00,2024-04-05 15:30:18.009296+00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/picsa%2Fmanuals%2Fpicsa_manual_tajik.pdf?alt=media&token=b8669e3c-9eae-4443-b743-6b1881990d81,,ПИКСА (Забони тоҷикӣ),tajik,,1,picsa_manual_tajik.pdf,2611,application/pdf,46d27ff52886ebfe67a15dd726a49a3f
picsa_manual_tumbuka,picsa_manual,2024-04-05 15:30:18.009296+00,2024-04-05 15:30:18.009296+00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/picsa%2Fmanuals%2Fpicsa-manual-tumbuka.pdf?alt=media&token=ccaa5881-2200-48de-8799-69179b8109e0,,Buku la PICSA,tumbuka,,1,picsa-field-manual-tumbuka.pdf,1955,application/pdf,39f969656877f0dc19ae392d7db8178c
farmer_historic_climate_mw_ny_360p,picsa_farmer_historic_climate,2024-04-05 15:30:18.009296+00,2024-04-05 15:30:18.009296+00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/picsa%2Fvideos%2Ffarmer_mw_ny_360p%2F3.%20Historic%20Climate%20Info.mp4?alt=media&token=79d1ec35-7bc8-4dc1-a1dc-09abb7cb1585,,Historic Climate,chichewa,,1,farmer_historic_climate_mw_ny_360p.mp4,22243,video/mp4,34146918bbdb7e4dd66525283d355d74
farmer_historic_climate_zm_ny_360p,picsa_farmer_historic_climate,2024-04-05 15:30:18.009296+00,2024-04-05 15:30:18.009296+00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/picsa%2Fvideos%2Ffarmer_zm_ny_360p%2F3.%20%20Historic%20Climate%20Information.mp4?alt=media&token=a64c8696-35c1-4fe0-9a8d-f3bead09d593,,Historic Climate,chichewa,,1,farmer_historic_climate_zm_ny_360p.mp4,17362,video/mp4,f2e0293ff76b6c852f4549aa73d08051
farmer_options_mw_ny_360p,picsa_farmer_options,2024-04-05 15:30:18.009296+00,2024-04-05 15:30:18.009296+00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/picsa%2Fvideos%2Ffarmer_mw_ny_360p%2F5.%20Options.mp4?alt=media&token=8a8c45d7-c37d-4eed-8010-0ba4938e8bde,,Options,chichewa,,1,farmer_options_mw_ny_360p.mp4,23895,video/mp4,d6a120bfd36fd8209d189b4c7a2ab66c
farmer_options_zm_ny_360p,picsa_farmer_options,2024-04-05 15:30:18.009296+00,2024-04-05 15:30:18.009296+00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/picsa%2Fvideos%2Ffarmer_zm_ny_360p%2F5.%20%20Options.mp4?alt=media&token=b4f61ebc-9ce3-40f4-8fee-a8e5f912c9e6,,Options,chichewa,,1,farmer_options_zm_ny_360p.mp4,20093,video/mp4,78cca3684177bcceb127e9314949a669
farmer_participatory_budget_mw_ny_360p,picsa_farmer_pbs,2024-04-05 15:30:18.009296+00,2024-04-05 15:30:18.009296+00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/picsa%2Fvideos%2Ffarmer_mw_ny_360p%2F6.%20Participatory%20Budgets.mp4?alt=media&token=80530f77-35bd-48b9-bd7a-ed1400e2b449,,Participatory Budgets,chichewa,,1,farmer_participatory_budget_mw_ny_360p.mp4,24938,video/mp4,933e92eb90875bed4a1029244cd11270
