id,modified_at,description,storage_file,external_url,cover_image,title,language_code,country_code,sort_order,filename,size_kb,mimetype,md5_checksum,owner
232bf481-2a00-4dd4-ba41-c5cf56f1ff1e,2026-07-13T13:29:45.347994+00:00,Nyengo ya El-Nino ikudzayi,mw/resources/Kukonzekera_Elnino_preparedness_brief-June_2026_Chichewa_1800.pdf,,mw/resources/covers/El nino_chichewa.PNG,Kukonzekera_Elnino_mwachidule_June_2026_Chichewa_1800,mw_ny,mw,-1,Kukonzekera_Elnino_preparedness_brief-June_2026_Chichewa_1800.pdf,331,application/pdf,,9fc92f06-8c98-4c95-9f01-14a76e5e7898
2367c415-6151-4d04-82b5-914aebdc86d4,2024-08-12T08:59:34.917008+00:00,Plant and Pest,zm/resources/Plant Pests and Diseases Act.pdf,,zm/resources/covers/pest.jpg,Plant Pests & Diseases Acts,global_en,zm,-1,Plant Pests and Diseases Act.pdf,607,application/pdf,,
29be07fe-cc1b-41c9-8689-26e6ec4718f0,2024-08-05T08:51:19.704692+00:00,SOURCE OF FOOD,mw/resources/Guide to Maize Production _ Final @@ With Cover.pdf,,mw/resources/covers/Cover Image.jpg,MAIZE PRODUCTION,global_en,mw,-1,Guide to Maize Production _ Final @@ With Cover.pdf,2376,application/pdf,,
726e18b4-cfcd-4fb8-afb2-391c29d0c019,2024-08-05T08:58:02.721787+00:00,,mw/resources/FAW Mangement for maize.pdf,,mw/resources/covers/FAW image.jpg,"Management of FAW in Maize ",global_en,mw,-1,FAW Mangement for maize.pdf,2420,application/pdf,,
88931ee8-b62f-44d5-bcab-4dae7b6bef8b,2024-08-12T08:54:15.942456+00:00,A study for Climate Change,zm/resources/Impact of Minimum Tillage and Crop Rotation as Climate Change.pdf,,zm/resources/covers/5b49bedc56c60.png,IMPACT OF MINIMUM TILLAGE AND CROP ROTATION,global_en,zm,-1,Impact of Minimum Tillage and Crop Rotation as Climate Change.pdf,350,application/pdf,,
8e1490e3-8c56-4707-8f66-37ef27903954,2024-08-12T08:53:18.759827+00:00,Cassava Brown Streak Disease,zm/resources/Cassava-Brown-Streak-Disease-Evidence-Note-2022.pdf,,zm/resources/covers/download.jpeg,Cassava Diseases,global_en,zm,-1,Cassava-Brown-Streak-Disease-Evidence-Note-2022.pdf,1072,application/pdf,,
9c0dc5d2-2f6b-4ae5-8d0f-5c5149d659df,2026-07-13T13:27:06.237065+00:00,The summary of the coming El Nino Season,mw/resources/elnino_preparedness_brief_-June_2026.pdf,,mw/resources/covers/El-Nino.PNG,Elnino_preparedness_brief_June_2026,mw_en,mw,-1,elnino_preparedness_brief_-June_2026.pdf,257,application/pdf,,9fc92f06-8c98-4c95-9f01-14a76e5e7898
b0f5a061-7f0d-4a56-a7c8-c911f0b0eb0a,2024-08-12T09:06:38.504024+00:00,Crop Rotation on Organic Farms,zm/resources/document.pdf,,zm/resources/covers/Crop-Rotation-926x1200.jpg,Crop Rotation,global_en,zm,-1,document.pdf,86,application/pdf,,
bmtm,2024-04-05T15:30:18.009296+00:00,For Linking Producers and Processors,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/crop-info%2FBUSINESS%20MODELS%20TRAINING%20MANUAL.pdf?alt=media&token=e682f443-1163-4894-88a7-7ea9851512a8,global/images/placeholder.svg,Business Models Training Manual,,global,1,BUSINESS MODELS TRAINING MANUAL.pdf,1425,application/pdf,16fd9bf6d037d9b05607e562de090a82,
cd7f0043-b6d7-4da3-8ad3-edaa36bb9da6,2024-08-05T08:49:02.455882+00:00,This resource provides detailed steps in understanding a seasonal forecast as presented by DCCMS,mw/resources/Understanding a seasonal rainfall forecast.pdf,,mw/resources/covers/cover.jpg,Understanding a seasonal forecast,global_en,mw,-1,Understanding a seasonal rainfall forecast.pdf,731,application/pdf,,
