id,modified_at,description,cover_image,title,sort_order,type,url,country_code,owner
accessAg,2024-04-05T05:13:43.196966+00:00,Agricultural training videos in local languages,global/resources/covers/access-ag.jpg,Access Agriculture,1,web,https://www.accessagriculture.org,global,
daes_v2,2024-04-05T05:13:43.196966+00:00,Malawi agriculture and livestock information,global/resources/covers/daes_v2.webp,DAES V2,1,app,https://play.google.com/store/apps/details?id=com.zengonet.app,global,
dccms_daily_forecast,2024-04-05T05:13:43.196966+00:00,,global/resources/covers/dccms.jpg,DCCMS Daily Forecast,10,web,https://www.metmalawi.gov.mw/dccms_weather.php,global,
dccms_facebook,2024-04-05T05:13:43.196966+00:00,Facebook Group,global/resources/covers/facebook.svg,DCCMS Malawi,9,social,https://www.facebook.com/MALAWIWEATHERUPDATE,global,
dccms_twitter,2024-04-05T05:13:43.196966+00:00,"Weather and Climate Updates, Alerts, Warnings and related News",global/resources/covers/twitter.png,DCCMS Twitter,1,social,https://twitter.com/DccmsM,global,
gfrasNelk,2024-04-05T05:13:43.196966+00:00,Online learning modules,global/resources/covers/gras-nelk.jpg,GRAFS - New Extensionist Learning Kit NELK,1,web,https://www.g-fras.org/en/knowledge/new-extensionist-learning-kit-nelk.html#thematic-1-gender-in-advisory-services,global,
meteoBlue_Zambia_Chipata_7day,2024-04-05T05:13:43.196966+00:00,,global/resources/covers/meteoblue.jpg,7-Day Weather,1,web,https://www.meteoblue.com/en/weather/week/chipata_zambia_918702,global,
meteoBlue_Zambia_Chipata_mapWidget,2024-04-05T05:13:43.196966+00:00,,global/resources/covers/meteoblue.jpg,Live Weather Map,1,web,https://www.meteoblue.com/en/weather/maps/widget/chipata_zambia_918702,global,
meteoBlue_Zambia_Chipata_seasonalForecast,2024-04-05T05:13:43.196966+00:00,,global/resources/covers/meteoblue.jpg,Seasonal Forecast,1,web,https://www.meteoblue.com/en/weather/forecast/seasonaloutlook/chipata_zambia_918702,global,
meteoBlue_Zambia_Petauke_7day,2024-04-05T05:13:43.196966+00:00,,global/resources/covers/meteoblue.jpg,7-Day Weather,1,web,https://www.meteoblue.com/en/weather/week/petauke_zambia_899825,global,
meteoBlue_Zambia_Petauke_mapWidget,2024-04-05T05:13:43.196966+00:00,,global/resources/covers/meteoblue.jpg,Live Weather Map,1,web,https://www.meteoblue.com/en/weather/maps/widget/petauke_zambia_899825,global,
meteoBlue_Zambia_Petauke_seasonalForecast,2024-04-05T05:13:43.196966+00:00,,global/resources/covers/meteoblue.jpg,Seasonal Forecast,1,web,https://www.meteoblue.com/en/weather/forecast/seasonaloutlook/petauke_zambia_899825,global,
mlimi,2024-04-05T05:13:43.196966+00:00,Malawi crop and weather advisories,global/resources/covers/mlimi.webp,Mlimi,1,app,https://play.google.com/store/apps/details?id=org.farmradiomw.mlimi,global,
plantix,2024-04-05T05:13:43.196966+00:00,Crop diagnosis and information,global/resources/covers/plantix.webp,Plantix,1,app,https://play.google.com/store/apps/details?id=com.peat.GartenBank,global,
plantwise,2024-04-05T05:13:43.196966+00:00,"Library of clear, practical and safe advice for tackling crop problems",global/resources/covers/plantwise.webp,Plantwise Factsheets Library,1,app,https://play.google.com/store/apps/details?id=org.cabi.pfff,global,
wmo_Zambia_Chipata,2024-04-05T05:13:43.196966+00:00,,global/resources/covers/wmo.png,Official Forecast,1,web,https://worldweather.wmo.int/en/city.html?cityId=1305,global,
womenInExtension,2024-04-05T05:13:43.196966+00:00,Access Agriculture Video,global/resources/covers/access-ag.jpg,Women in Extension,1,web,https://www.accessagriculture.org/women-extension,global,
zaulimi,2024-04-05T05:13:43.196966+00:00,"Production and marketing information for crops, livestock and baobab.",global/resources/covers/zaulimi.webp,Zaulimi,1,app,https://play.google.com/store/apps/details?id=mw.glide.zaulimi,global,
zmdFacebook,2024-04-05T05:13:43.196966+00:00,Facebook Group,global/resources/covers/facebook.svg,Zambia Meteorological Department,1,social,https://facebook.com/zambiameteorologicaldepartment/,global,
zmdWhatsapp,2024-04-05T05:13:43.196966+00:00,WhatsApp Group,global/resources/covers/whatsapp.svg,Weather Services ZM,1,social,https://chat.whatsapp.com/KSRlJie2m3aKTz6urP8KuT,global,
