id,tool,context,text,mw_ny,ke_sw,tj_tg,zm_ny,archived,zm_bem,zm_toi,zm_loz,zm_lun,zm_kqn,zm_lue,mw_tum,country_code
budget--activities,budget,,Activities,Ntchito zakumunda,,Фаъолият,Zintchito,,Ifyakucita,Zyakucita,Misebezi,Nyidimu,mingilo,Milimo,Vyakuchitika,
budget--addcard,budget,,Add Card,Onjezerani zochita zina,,,Onjezani Khadi,,Ukulundapo kadi,Amusanganye akakkaandi,Mubehe cadi,kusha kadi,bikai kikachi,Hakaho chitupa,Sazgilanipo chinyake,
budget--addfemalemember,budget,,Add Female Member,Onjezerani munthu wa mkazi,,,Ikamponi membala wam'kazi,,Ukulundako membala umwanakashi,Usanganye abamakaintu,mubehe membala wamusali,shenuhu membala wamumbanda,Bikai wamukazhi,Hakaho membala wapwevo,Sazgilanipo membala mwanakazi,
budget--addmalemember,budget,,Add Male Member,Onjezerani munthu wa mwamuna,,,Ikamponi membala wam'muna,,Ukulundako membala umwaume,Amusanganye abaalumi,mubehe membala wa sina,shenuhu membala weyala,Bikai wamulume,Hakaho membala walunga,Sazgilanipo membala mwanalume,
budget--balance,budget,,balance,Ndalama zotsala,,Мувозинат,Zotsalira,,Ukuba pakati,Amusanganye kabotu kabotu,kubeha fahali,zhinashaliku,maali ashalapo,Pezelesa,Ndalama izo zakhalapo,
budget--budgettool,budget,,Budget Tool,Chida cha ndondomeko ya ndalama,Chombo cha Bajeti,Воситаи буҷет,Chida Cha Bajeti,,Icibombelo ca ndalama,Izyakubelesya nomupanga bwakubelesya mali,Li pangaliko za bajeti,chakuzatisha kubajeti,Mwaba wa maali onse,Chitwa chakuzachisa jimbongo,Chakupangila bajeti,
budget--cardlabel,budget,,Card Label,Dzina la choonjezeredwa,,,Chizindikiro cha pa Khadi,,Icilembo ca kadi,Bulembo bujanika akakkaandi,zaku zibela fa card,chinjikizhilu cha kadi,Byanembwa pa kikachi,Vasona vahachitupa,Zina la icho chasazgikilapo,
budget--consumed,budget,,consumed,Chakudya choyenera kudyedwa,,,Zosewenzetsedwa,,Ukubomfiwa,Mali ngomwakabelesya,Zebaitusisizwe,zhinadewi,kajo komwajile,Vinaliwa,Vyakulyeka,
budget--cost,budget,,Cost,Mtengo wa chinthu,,,Mtengo,true,Umutengo,Imuulo wacintu,tifo,wuseya,mutengo wa maali akebewa,Ndando,Mtengo,
budget--createnew,budget,,Create New,,,,,,,,,,,,,
