Year,Rainfall,Start,End,Length
1966,516.5,null,287,null
1967,649.5,133,285,152
1968,1224.7,135,300,165
1969,619.5,156,253,97
1970,1148.2,149,287,138
1971,876.2,137,299,162
1972,701.6,131,284,153
1973,1117.7,160,302,142
1974,831.1,161,278,117
1975,998.4,138,297,159
1976,714.8,164,270,106
1977,932.4,160,275,115
1978,829.8,142,269,127
1979,921.3,128,283,155
1980,1055.2,157,289,132
1981,1002.2,154,293,139
1982,926.1,157,292,135
1983,721.6,151,276,125
1984,982.4,156,284,128
1985,1060.3,139,303,164
1986,764.9,181,276,95
1987,171.3,193,193,0
1988,768.7,null,291,null
1989,1030.4,134,304,170
1990,759.9,148,281,133
1991,805.1,149,271,122
1992,1071.7,173,304,131
1993,849.9,160,299,139
1994,631,150,286,136
1995,750.4,164,285,121
1996,1099.2,156,280,124
1997,934,146,273,127
1998,499.8,176,null,null
1999,601,null,285,null
2000,559.3,195,278,83
2001,482,172,238,66
2002,1002.6,164,275,111
2003,567.8,162,275,113
2004,802.8,147,264,117
2005,657.7,179,300,121
2006,957.4,149,296,147
2007,937.7,173,285,112
2008,999.9,133,278,145
2009,766.1,183,259,76
2010,933.6,159,null,null
2011,468.9,null,null,null
2012,970.9,null,294,null
2013,0,null,null,null
2014,651.3,null,290,null
2015,77.4,null,null,null
2016,333.7,null,275,null
