Year,Rainfall,Start,End,Length
1952,565.7,,298,
1953,626.4,152,274,122
1954,913.6,161,303,142
1955,774.5,144,297,153
1956,1076.5,138,296,158
1957,794.7,166,270,104
1958,831.2,211,292,81
1959,621.1,172,264,92
1960,605.5,162,270,108
1961,948.9,186,271,85
1962,1427.2,159,271,112
1963,664.3,175,250,75
1964,693.7,172,274,102
1965,540.4,187,253,66
1966,652,165,297,132
1967,506.5,192,295,103
1968,671.8,142,281,139
1969,748.3,157,293,136
1970,834.1,144,257,113
1971,951.4,139,303,164
1972,649.1,194,283,89
1973,889.2,153,274,121
1974,574,147,293,146
1975,889.7,120,286,166
1976,860.5,160,264,104
1977,617.9,135,258,123
1978,661.6,159,264,105
1979,788.3,149,287,138
1980,785.1,158,285,127
1981,486.8,184,238,54
1982,595.5,208,301,93
1983,807.5,107,273,166
1984,876.7,133,277,144
1985,814.4,133,296,163
1986,613.6,115,271,156
1987,762.8,153,250,97
1988,1092.6,156,277,121
1989,849.3,156,272,116
1990,626.7,188,287,99
1991,388.9,187,267,80
1992,684,162,252,90
1993,422.6,136,220,84
1994,348.4,180,287,107
1995,923.6,151,249,98
1996,1105.8,166,271,105
1997,451.8,151,217,66
1998,761,151,239,88
1999,513.4,144,259,115
2000,905.9,136,289,153
2001,728.5,138,290,152
2002,811.4,186,274,88
2003,539.3,230,271,41
2004,580.1,120,255,135
2005,827.5,155,272,117
2006,657.5,137,269,132
2007,778.8,158,261,103
2008,767.1,169,278,109
2009,789.1,125,259,134
2010,604.8,149,279,130
2011,577.3,183,276,93
2012,2313.3,162,285,123
2013,3684.9,166,288,122
2014,3213.5,163,263,100
2015,449.2,,266,
2016,836.6,149,268,119
2017,543.8,134,271,137
2018,951.4,146,259,113
2019,180.1,,184,
