Year,End,Length,Rainfall,Start
1964,,,,
1965,264,,823,
1966,297,156,1078,141
1967,293,151,627,142
1968,287,148,1340,139
1969,290,135,846,155
1970,276,152,1224,124
1971,302,170,1009,132
1972,284,157,904,127
1973,301,142,1241,159
1974,294,163,917,131
1975,286,148,1292,138
1976,262,104,1277,158
1977,298,153,1322,145
1978,290,178,826,112
1979,290,165,1096,125
1980,300,144,910,156
1981,296,135,1031,161
1982,266,131,728,135
1983,302,146,1129,156
1984,283,166,1437,117
1985,296,163,1290,133
1986,292,177,1105,115
1987,293,148,1066,145
1988,302,185,1189,117
1989,264,122,861,142
1990,280,108,899,172
1991,299,143,645,156
1992,300,162,1115,138
1993,270,134,825,136
1994,269,114,596,155
1995,280,139,1233,141
1996,283,130,1447,153
1997,283,137,963,146
1998,286,141,1612,145
1999,284,164,1022,120
2000,278,156,1237,122
2001,291,150,1619,141
2002,275,117,1117,158
2003,295,115,829,180
2004,242,65,639,177
2005,287,155,1266,132
2006,295,159,1207,136
2007,255,100,1037,155
2008,266,103,1087,163
2009,291,151,1243,140
2010,283,136,1066,147
2011,276,111,1055,165
2012,279,116,1227,163
2013,281,139,858,142
2014,295,133,1540,162
2015,266,101,790,165
2016,290,151,1021,139
2017,287,152,902,135
2018,291,144,1571,147
2019,271,124,1100,147
2020,265,130,862,135
2021,279,143,1255,136
2022,264,118,1847,146
2023,257,80,781,177
2024,,,,
