Year,Rainfall,Start,End,Length
1966,102.2,null,297,null
1967,0,null,null,null
1968,0,null,null,null
1969,0,null,null,null
1970,836.1,168,303,135
1971,481.2,181,261,80
1972,611.3,129,291,162
1973,899.4,148,280,132
1974,677.7,145,258,113
1975,615.3,248,287,39
1976,489.3,160,227,67
1977,278,159,226,67
1978,418.4,276,300,24
1979,531.7,239,289,50
1980,702.4,158,285,127
1981,622.9,154,295,141
1982,448.5,211,297,86
1983,780.5,146,297,151
1984,834.2,168,284,116
1985,937.6,120,298,178
1986,631.3,115,292,177
1987,748.7,150,261,111
1988,1146,156,305,149
1989,701.3,166,291,125
1990,574.4,188,282,94
1991,383.5,203,267,64
1992,838.6,186,271,85
1993,522.7,136,270,134
1994,522.3,181,287,106
1995,1188.5,143,305,162
1996,1046.3,165,271,106
1997,765.2,146,263,117
1998,948,144,275,131
1999,528.9,203,265,62
2000,970.5,130,281,151
2001,733,155,267,112
2002,790.7,185,280,95
2003,536.8,202,275,73
2004,612.3,120,300,180
2005,958.8,152,272,120
2006,997.8,137,269,132
2007,717.7,163,261,98
2008,815.1,169,286,117
2009,404,144,299,155
2010,663.3,null,284,null
2011,684.5,169,287,118
2012,804.1,159,231,72
2013,750.6,166,281,115
2014,1013.6,164,275,111
2015,1561.6,165,278,113
2016,803.7,164,270,106
2017,584.2,134,271,137
2018,867.5,147,262,115
2019,817.8,146,240,94
2020,580.1,186,302,116
2021,1008.6,191,272,81
2022,0,null,null,null
