Year,Start,End,Length,Rainfall
1948,,261,,
1949,154,293,139,1141.7
1950,172,267,95,844.3
1951,135,247,112,1023.2
1952,152,247,95,683.7
1953,155,260,105,567.8
1954,133,304,171,910.7
1955,154,296,142,794.8
1956,139,287,148,860.8
1957,145,289,144,724.2
1958,160,285,125,550.8
1959,154,300,146,541.1
1960,144,289,145,1007.304
1961,118,275,157,854.2782
1962,132,262,130,1068.07
1963,118,273,155,664.972
1964,144,289,145,724.408
1965,163,293,130,814.578
1966,162,297,135,1036.828
1967,198,294,96,516.89
1968,162,281,119,933.57
1969,152,289,137,542.798
1970,129,286,157,908.304
1971,144,289,145,1010.4374
1972,149,284,135,484.312
1973,115,301,186,1163.066
1974,151,278,127,692.15
1975,146,287,141,849.376
1976,158,270,112,1004.932
1977,143,290,147,1115.06
1978,160,302,142,1018.59
1979,140,283,143,834.136
1980,158,269,111,882.57
1981,192,293,101,651.7
1982,136,281,145,673.8
1983,179,272,93,781.8
1984,129,278,149,1254.6
1985,110,297,187,1001.9
1986,114,275,161,852
1987,147,279,132,1017.2
1988,117,261,144,1139.1
1989,153,301,148,735.9
1990,153,283,130,808.8
1991,134,283,149,638.8
1992,172,288,116,763.4
1993,188,299,111,640.2
1994,182,266,84,537.9
1995,141,258,117,963.8
1996,153,256,103,1186.2
1997,146,269,123,966.4
1998,135,286,151,933.99
1999,182,272,90,758.9
2000,136,277,141,1077.2
2001,142,294,152,852.2
2002,174,272,98,716.2
2003,202,297,95,599.1
2004,150,211,,
2005,126,270,144,1041
2006,165,295,130,967.5
2007,135,260,125,792.2
2008,149,273,124,824.9
2009,140,292,152,831.8
2010,153,283,130,941.8
2011,169,275,106,755.3
2012,158,264,106,927.5
2013,180,278,98,620.4
2014,162,240,78,881
2015,159,262,103,597.8
2016,158,279,121,603.8
2017,,295,,793.1
2018,,261,,1222.4
