Year,Rainfall,Start,End,Length
1982,289.9,null,null,null
1983,645.1,null,251,null
1984,860.2,null,null,null
1985,821.7,null,null,null
1986,810,null,null,null
1987,860.8,null,279,null
1988,830.3,null,null,null
1989,623.4,null,282,null
1990,936.2,null,271,null
1991,623.5,163,297,134
1992,888.3,null,294,null
1993,583.9,null,null,null
1994,702.1,null,null,null
1995,775.3,null,259,null
1996,731.3,166,285,119
1997,854.1,null,null,null
1998,744.4,null,274,null
1999,738.6,null,290,null
2000,1107.4,142,279,137
2001,789.3,141,267,126
2002,1174.1,164,271,107
2003,688.8,153,293,140
2004,856.2,139,null,null
2005,1132.3,150,272,122
2006,875.5,141,304,163
2007,1054.1,160,247,87
2008,1245.7,157,277,120
2009,1372.3,164,297,133
2010,649.5,156,264,108
2011,810,166,277,111
2012,689.4,165,245,80
2013,854,166,281,115
2014,853.4,172,291,119
2015,582.7,192,266,74
2016,853.5,169,270,101
2017,763,150,285,135
2018,912.1,146,286,140
2019,265.9,149,184,35
