Year,Rainfall,Start,End,Length
1949,1401.3,153,292,139
1950,794.5,166,300,134
1951,1626.3,153,283,130
1952,1122.1,152,286,134
1953,837.9,144,260,116
1954,1293.1,125,296,171
1955,1354.8,144,296,152
1956,1335.6,123,295,172
1957,887.7,161,280,119
1958,768.7,134,261,127
1959,672.3,164,263,99
1960,1267.9,149,288,139
1961,1072.7,118,276,158
1962,1542,130,290,160
1963,791.7,154,267,113
1964,760.8,151,290,139
1965,1075.6,153,296,143
1966,993.2,163,297,134
1967,681.6,190,294,104
1968,1007.6,143,282,139
1969,1070.8,128,284,156
1970,888.9,148,287,139
1971,903.2,160,294,134
1972,835.9,149,284,135
1973,1266.3,160,277,117
1974,1033.9,138,294,156
1975,1019.5,138,296,158
1976,1040.4,158,285,127
1977,1047.9,127,287,160
1978,773.1,138,289,151
1979,821.7,218,298,80
1980,767.9,208,298,90
1981,651.4,196,303,107
1982,688.7,214,300,86
1983,798.3,179,288,109
1984,949.1,193,301,108
1985,605.5,188,304,116
1986,638,215,297,82
1987,775.6,177,301,124
1988,682.7,171,276,105
1989,481.1,138,298,160
1990,180.7,null,301,null
1991,0,null,null,null
1992,654.7,166,288,122
1993,568.6,195,300,105
1994,838.9,156,269,113
1995,931.9,209,299,90
1996,1316.6,157,258,101
1997,976.8,168,273,105
1998,1298.1,123,275,152
1999,471.8,142,285,143
2000,1284.4,104,274,170
2001,715.6,141,281,140
2002,1549.4,158,276,118
2003,563.5,168,301,133
2004,819.6,120,242,122
2005,1017.9,132,287,155
2006,837.8,136,275,139
2007,810.7,158,260,102
2008,769,129,277,148
2009,762.2,134,280,146
2010,730.7,153,279,126
2011,737.7,184,277,93
2012,772.9,163,246,83
2013,1009.6,168,278,110
2014,1039.2,162,295,133
2015,3128,159,267,108
2016,898.2,149,290,141
2017,516,165,287,122
2018,1211.7,142,302,160
2019,788.1,146,239,93
2020,479.1,206,265,59
