Year,Rainfall,Start,End,Length
1945,300.8,null,null,null
1946,974.5,null,280,null
1947,879.1,155,288,133
1948,471.2,177,301,124
1949,1697.8,179,283,104
1950,746.7,152,276,124
1951,1028.6,153,293,140
1952,644.1,180,259,79
1953,663.6,null,257,null
1954,672.8,196,282,86
1955,515.9,null,281,null
1956,0,null,null,null
1957,779.6,null,247,null
1958,867,172,254,82
1959,979.8,212,266,54
1960,742.7,166,296,130
1961,1082.2,155,297,142
1962,1073.4,133,284,151
1963,853.4,128,268,140
1964,888.5,183,275,92
1965,764.4,178,258,80
1966,781,165,296,131
1967,798.1,123,289,166
1968,889.5,163,288,125
1969,739.3,167,286,119
1970,956.5,144,292,148
1971,966.6,154,301,147
1972,705.9,158,284,126
1973,966.3,159,278,119
1974,621.7,161,279,118
1975,1165.1,167,295,128
1976,952.4,162,284,122
1977,1590.2,160,298,138
1978,955.7,142,274,132
1979,1039.1,133,290,157
1980,1199.4,155,255,100
1981,823.6,175,296,121
1982,753.1,151,254,103
1983,612.3,168,281,113
1984,1268,134,277,143
1985,1176.6,156,287,131
1986,581.7,185,269,84
1987,816.2,185,302,117
1988,765.3,183,242,59
1989,899.1,153,278,125
1990,926.9,180,282,102
1991,619.4,153,268,115
1992,957,null,295,null
1993,680.8,null,null,null
1994,530,null,null,null
1995,889.8,null,261,null
1996,713.6,172,283,111
1997,824.5,null,null,null
1998,803.8,null,285,null
1999,834.5,166,285,119
2000,993.3,148,276,128
2001,883.8,138,269,131
2002,1024.3,158,271,113
2003,723,null,293,null
2004,748.7,147,null,null
2005,1069.5,null,272,null
2006,997,149,269,120
2007,787.4,160,261,101
2008,809.4,151,265,114
2009,761.9,null,275,null
2010,851.4,147,271,124
2011,1035.5,157,277,120
2012,731.8,165,262,97
2013,897.9,166,281,115
2014,803,172,291,119
2015,570.8,169,278,109
2016,945.9,161,268,107
2017,777.6,164,283,119
2018,839.4,146,269,123
2019,324.8,149,184,35
