Year,Rainfall,Start,End,Length
1959,486.7,,264,
1960,1055.5,146,303,157
1961,1029.9,140,291,151
1962,807.6,157,272,115
1963,906.4,125,269,144
1964,759,150,297,147
1965,478.8,156,245,89
1966,805.9,162,288,126
1967,572,162,285,123
1968,915.3,148,280,132
1969,945,156,284,128
1970,1094.4,147,297,150
1971,909.1,132,300,168
1972,646,148,285,137
1973,1135.2,168,302,134
1974,988.6,158,292,134
1975,982.8,167,297,130
1976,980.6,164,304,140
1977,1101.9,146,279,133
1978,745.6,138,285,147
1979,697.9,140,251,111
1980,896.5,158,287,129
1981,922.8,180,294,114
1982,716.9,162,283,121
1983,698.4,172,259,87
1984,1062.5,133,284,151
1985,1018.5,135,276,141
1986,1139.2,159,291,132
1987,905.6,164,303,139
1988,1063.3,172,267,95
1989,829.8,136,302,166
1990,602.7,148,289,141
1991,597.5,165,273,108
1992,783.7,145,262,117
1993,844.7,163,275,112
1994,520.8,170,242,72
1995,749.1,196,277,81
1996,780.3,164,283,119
1997,1154.7,141,259,118
1998,1291.4,176,285,109
1999,757.4,166,285,119
2000,839.3,175,290,115
2001,785.1,169,267,98
2002,1029.6,148,271,123
2003,772.5,167,293,126
2004,795.8,162,256,94
2005,708.1,151,287,136
2006,1005.7,139,282,143
2007,931.4,168,262,94
2008,818.9,147,277,130
2009,911,150,295,145
2010,730.4,143,281,138
2011,864.6,184,287,103
2012,879.9,162,279,117
2013,722.8,168,281,113
2014,577.7,183,290,107
2015,647.4,189,288,99
2016,850.1,159,254,95
2017,935.4,149,283,134
2018,713,161,268,107
2019,831.1,,272,
2020,796.2,163,267,104
2021,735.4,192,282,90
2022,,,,
