Year,End,Length,Rainfall,Start
1960,289,,,
1961,303,159,1162,144
1962,295,120,943,175
1963,249,121,910,128
1964,247,75,891,172
1965,255,124,774,131
1966,286,117,665,169
1967,285,123,730,162
1968,305,157,905,148
1969,292,139,832,153
1970,255,105,1056,150
1971,299,131,702,168
1972,285,130,695,155
1973,292,137,971,155
1974,305,144,871,161
1975,297,120,944,177
1976,275,116,1088,159
1977,291,152,974,139
1978,273,117,950,156
1979,291,150,1051,141
1980,299,145,1111,154
1981,293,145,967,148
1982,281,146,905,135
1983,259,,848,
1984,291,158,1027,133
1985,269,136,967,133
1986,290,141,976,149
1987,302,152,875,150
1988,304,133,1368,171
1989,282,133,844,149
1990,282,116,993,166
1991,305,161,847,144
1992,294,127,1131,167
1993,271,125,766,146
1994,284,100,715,184
1995,261,,867,
1996,283,119,1128,164
1997,284,138,788,146
1998,275,,737,
1999,264,,741,
2000,273,137,859,136
2001,266,94,840,172
2002,273,116,1274,157
2003,293,128,734,165
2004,242,74,648,168
2005,283,121,937,162
2006,274,126,961,148
2007,304,144,1022,160
2008,274,133,978,141
2009,298,128,1005,170
2010,284,126,754,158
2011,277,129,1120,148
2012,268,103,808,165
2013,292,126,939,166
2014,274,103,815,171
2015,293,135,707,158
2016,279,109,1029,170
2017,288,125,826,163
2018,285,123,1174,162
2019,269,121,823,148
2020,270,122,823,148
2021,283,113,957,170
2022,,,,
2023,,,,
2024,,,,
