Year,Rainfall,Start,End,Length
1960,812.6,150,296,146
1961,1063.7,147,286,139
1962,799.5,161,284,123
1963,863.7,127,268,141
1964,814.4,151,276,125
1965,719,160,248,88
1966,1018.4,136,297,161
1967,696.3,192,295,103
1968,956.1,163,289,126
1969,781.3,166,254,88
1970,1037.8,148,272,124
1971,819.6,156,300,144
1972,880.5,148,284,136
1973,1114.4,171,278,107
1974,750.2,160,279,119
1975,951.8,166,287,121
1976,0,null,null,null
1977,0,null,null,null
1978,809.8,145,272,127
1979,816,152,294,142
1980,812.3,156,268,112
1981,1074.9,174,257,83
1982,820.6,148,285,137
1983,942.3,172,281,109
1984,1126.1,131,277,146
1985,987.4,142,287,145
1986,744.1,159,277,118
1987,892.9,148,267,119
1988,1143.9,172,267,95
1989,814.9,139,305,166
1990,654.4,186,282,96
1991,582.1,168,272,104
1992,750.8,173,259,86
1993,537.2,188,260,72
1994,572.7,149,250,101
1995,925.1,164,269,105
1996,832.4,166,283,117
1997,1363.1,97,271,174
1998,802,183,265,82
1999,653.9,166,268,102
2000,1207.9,141,277,136
2001,744.3,179,282,103
2002,1363.7,164,284,120
2003,567.6,197,293,96
2004,743.1,147,271,124
2005,1515.9,145,279,134
2006,897.5,161,253,92
2007,1011.6,136,236,100
2008,811.5,162,276,114
2009,869.4,191,276,85
2010,723.9,147,284,137
2011,841.3,167,276,109
2012,610.7,164,254,90
2013,729.7,148,264,116
2014,521.6,182,283,101
2015,624.2,173,278,105
2016,891.3,155,270,115
2017,684.9,150,257,107
2018,1160.8,164,305,141
2019,900.2,152,258,106
2020,828,164,266,102
2021,590.4,null,null,null
2022,0,null,null,null
