Year,Rainfall,Start,End,Length
1926,0,,,
1927,0,,,
1928,0,,,
1929,0,,,
1930,0,,,
1931,0,,,
1932,0,,,
1933,0,,,
1934,702.7,,298,
1935,1193.5,,290,
1936,774.5,,299,
1937,1037.1,,287,
1938,1315.4,,280,
1939,1215.4,142,293,151
1940,727.4,106,281,175
1941,690.3,,302,
1942,907.7,,296,
1943,514.8,,,
1944,0,,,
1945,0,,,
1946,0,,,
1947,683,,304,
1948,411.2,217,267,50
1949,1291.8,160,284,124
1950,1015.3,163,261,98
1951,1122.2,,293,
1952,720.6,151,273,122
1953,872.9,154,302,148
1954,1263.2,134,304,170
1955,1513.8,142,296,154
1956,1162.9,138,297,159
1957,645.3,167,280,113
1958,946.4,138,283,145
1959,930.3,165,262,97
1960,1092.8,179,289,110
1961,1205.5,128,304,176
1962,884.5,154,277,123
1963,840.2,137,260,123
1964,923.8,170,274,104
1965,727.2,182,253,71
1966,855.6,153,297,144
1967,661.5,154,294,140
1968,1011.9,164,299,135
1969,750.5,153,293,140
1970,839.5,149,256,107
1971,706.8,,289,
1972,883.4,157,284,127
1973,1078.4,159,276,117
1974,860.1,146,279,133
1975,1373.2,149,297,148
1976,1030.8,163,263,100
1977,1520.4,150,278,128
1978,0,,,
1979,0,,,
1980,1087,157,255,98
1981,1005.5,183,295,112
1982,906.5,151,291,140
1983,892.7,169,303,134
1984,1010.1,161,270,109
1985,1249.9,130,283,153
1986,1204.9,155,292,137
1987,1061.6,151,287,136
1988,1385.1,104,275,171
1989,1129,137,299,162
1990,0,,,
1991,168.8,,,
1992,509.4,,294,
1993,456.9,,276,
1994,429.6,,280,
1995,569.1,,,
1996,465.4,,,
1997,537.3,,,
1998,579.1,,,
1999,0,,,
2000,789.7,,,
2001,850.9,,,
2002,0,,,
2003,0,,,
2004,0,,,
2005,0,,,
2006,0,,,
2007,162.4,,,
2008,523.9,,,
2009,630.5,,,
2010,129,,,
2011,0,,,
2012,0,,,
2013,0,,,
2014,0,,,
2015,0,,,
2016,0,,,
2017,0,,,
2018,0,,,
2019,0,,,
