Year,Rainfall,Start,End,Length,sum_RainyDays,Jan_spells,Feb_spells,JanFeb_spells,March_spells,OND_spells,max24hourly,sum_RD50
1960,458.6,,278,,,,7,,9,,51.8,1
1961,1024.1,160,285,125,70,3,5,5,6,207,55.1,2
1962,854.8,160,263,103,76,6,4,6,9,198,66,1
1963,767.4,124,257,133,64,5,5,5,10,192,103.1,1
1964,751,145,254,109,70,4,2,4,4,93,61.7,1
1965,667.4,158,296,138,49,10,4,10,14,221,63.5,2
1966,732,136,289,153,78,4,6,6,3,149,49.5,0
1967,618.2,157,295,138,56,4,5,5,12,185,61.7,1
1968,621.3,148,247,99,68,4,2,4,14,159,54.6,1
1969,666,166,268,102,54,6,12,12,,139,73.4,2
1970,954.5,150,255,105,77,5,2,5,8,166,80.8,1
1971,430.3,148,268,120,56,6,5,6,14,153,59.7,1
1972,583.3,176,284,108,55,7,7,7,11,174,40.6,0
1973,856.4,157,302,145,73,2,3,3,4,175,55.4,1
1974,673,145,281,136,61,6,8,8,5,123,48.8,0
1975,725.7,193,298,105,55,,2,,8,223,68.1,2
1976,534.1,163,256,93,54,3,9,9,11,164,42.9,0
1977,880.5,184,279,95,57,4,6,6,7,208,78.7,4
1978,772.1,163,283,120,48,,4,,11,221,64,4
1979,1063.8,145,291,146,64,5,12,12,7,198,97.8,3
1980,1026.8,154,271,117,54,7,3,7,8,47,62.5,5
1981,714.4,180,291,111,48,13,4,13,5,212,100.3,2
1982,756.4,163,302,139,63,6,10,10,12,171,74.5,4
1983,720.8,165,272,107,56,10,5,10,11,193,46,0
1984,711.1,132,267,135,75,5,5,5,3,171,60.8,1
1985,1085.9,130,304,174,78,4,3,4,6,177,79.6,3
1986,793.1,118,253,135,70,7,4,7,12,165,60.5,1
1987,828.4,203,264,61,58,4,4,4,10,65,91.8,3
1988,914.5,181,276,95,67,1,4,4,10,166,62.5,1
1989,817.8,139,273,134,54,10,4,10,18,166,111,5
1990,781.6,149,282,133,64,5,3,5,6,205,83,2
1991,504.9,158,272,114,48,6,13,13,7,94,38.6,0
1992,794,165,272,107,62,6,5,6,6,189,79.4,1
1993,725.8,135,292,157,46,3,5,5,10,216,92.8,2
1994,501,187,284,97,44,3,3,3,8,196,97.4,2
1995,940.8,163,258,95,64,3,5,5,6,219,65.8,4
1996,838.4,165,283,118,54,7,4,7,12,193,83.9,4
1997,882.1,141,281,140,58,3,6,6,14,194,69.1,2
1998,837.8,147,272,125,62,8,6,8,5,191,90.5,1
1999,537.5,186,252,66,50,12,5,12,6,244,32.6,0
2000,791.3,165,266,101,66,6,5,6,6,188,59.8,2
2001,596.8,182,284,102,53,10,8,10,13,229,75.1,1
2002,1046.2,164,276,112,65,10,4,10,9,60,63.4,2
2003,812.9,154,280,126,50,5,7,7,16,239,102.5,4
2004,879.9,149,259,110,58,4,6,6,12,178,105.1,4
2005,550.7,150,280,130,52,7,15,15,5,162,51.4,1
2006,1149.3,139,243,104,69,1,6,6,7,185,78.5,6
2007,576.1,174,253,79,56,2,6,6,16,97,50.8,1
2008,645.7,150,278,128,66,5,6,6,4,252,40,0
2009,785.8,165,275,110,63,4,5,5,9,217,49.7,0
2010,545.6,159,282,123,58,14,7,14,6,101,69.2,2
2011,860.7,163,276,113,66,3,8,8,5,176,66.7,3
2012,596.4,165,262,97,48,6,3,6,8,174,87.9,2
2013,728.3,180,243,63,61,4,2,4,7,224,72.8,1
2014,725,177,283,106,61,2,3,3,10,189,78.2,2
2015,610.9,161,266,105,50,12,6,12,7,198,91.6,3
2016,851.6,197,279,82,57,4,3,4,12,236,80.8,2
2017,710.4,150,286,136,54,3,11,11,13,227,60.3,2
2018,660.5,165,285,120,61,9,9,9,5,220,43.8,0
2019,762.1,164,248,84,60,8,4,8,10,173,71.8,2
2020,620.1,163,260,97,68,5,7,7,15,18,46.8,0
2021,669.3,193,284,91,50,4,,,11,278,,
2022,772.1,,,,56,4,6,6,,,,
