Year,Rainfall,Start,End,Length
1960,611.4,null,303,null
1961,900.4,140,282,142
1962,828.3,132,259,127
1963,658.4,171,269,98
1964,924.1,150,252,102
1965,531.1,156,273,117
1966,734.1,162,297,135
1967,541,156,285,129
1968,1065,152,287,135
1969,840.3,165,293,128
1970,949.2,149,273,124
1971,700.5,132,282,150
1972,620.8,157,303,146
1973,1001.5,171,279,108
1974,889.8,160,282,122
1975,801.9,167,280,113
1976,1149.4,168,284,116
1977,783.8,183,289,106
1978,1074.9,145,294,149
1979,757.3,141,283,142
1980,1006,154,285,131
1981,783.1,180,248,68
1982,636.3,162,280,118
1983,699.1,172,275,103
1984,1175.2,162,285,123
1985,733.4,131,276,145
1986,705.6,118,292,174
1987,698.5,158,265,107
1988,1072.6,174,274,100
1989,828.5,136,305,169
1990,774.4,180,282,102
1991,757.9,137,273,136
1992,995.1,173,275,102
1993,681.3,185,272,87
1994,740,153,252,99
1995,1094.6,161,259,98
1996,904.7,164,284,120
1997,809.8,161,284,123
1998,967.6,148,266,118
1999,628.2,183,268,85
2000,793.8,122,264,142
2001,996.9,171,269,98
2002,1110.7,164,271,107
2003,625.9,153,293,140
2004,853.4,147,280,133
2005,781.2,155,273,118
2006,720.4,179,268,89
2007,791.6,160,261,101
2008,805,158,268,110
2009,695.7,128,262,134
2010,729.8,147,260,113
2011,1007.1,172,277,105
2012,959.7,148,279,131
2013,713.6,159,281,122
2014,639.8,172,283,111
2015,797.9,151,276,125
2016,807,173,270,97
2017,574.4,177,257,80
2018,902,164,285,121
2019,927.5,149,262,113
2020,793.4,153,273,120
2021,450.3,null,null,null
2022,0,null,null,null
