Year,End,Extreme_events,Length,Rainfall,Start
1959,296,0,,,
1960,305,0,174,1293,131
1961,309,0,178,1490,131
1962,292,0,155,1136,137
1963,285,0,157,1174,128
1964,293,0,158,967,135
1965,302,0,176,1435,126
1966,308,0,176,1050,132
1967,280,0,156,1157,124
1968,298,0,163,1132,135
1969,277,0,153,1052,124
1970,289,0,161,1460,128
1971,301,0,160,1032,141
1972,302,0,172,1072,130
1973,300,0,167,1128,133
1974,289,0,162,1183,127
1975,318,0,161,1250,157
1976,291,0,159,1002,132
1977,312,0,185,1171,127
1978,317,0,183,1573,134
1979,313,0,180,1357,133
1980,292,0,152,1148,140
1981,289,0,148,917,141
1982,260,0,128,1224,132
1983,295,0,160,1181,135
1984,301,0,167,1258,134
1985,313,0,184,1292,129
1986,302,0,177,1175,125
1987,298,0,148,814,150
1988,301,0,172,1103,129
1989,299,0,160,1246,139
1990,302,0,148,1108,154
1991,300,0,155,949,145
1992,293,0,133,961,160
1993,283,0,146,826,137
1994,290,0,116,955,174
1995,298,0,161,1233,137
1996,303,0,161,934,142
1997,287,0,148,,139
1998,306,0,161,1376,145
1999,,0,,,129
2000,296,0,,1343,
2001,308,0,184,1337,124
2002,272,0,124,1142,148
2003,301,0,134,1008,167
2004,284,0,140,1179,144
2005,301,0,,,
2006,,0,,,135
2007,288,0,160,1110,128
2008,298,0,166,1446,132
2009,292,0,161,971,131
2010,299,0,157,1166,142
2011,293,0,166,1200,127
2012,287,0,146,,141
2013,305,0,160,,145
2014,311,0,168,1093,143
2015,294,0,,,
2016,319,0,160,1104,159
2017,,0,,,140
2018,292,0,,,
2019,296,0,157,1258,139
2020,293,0,159,,134
2021,,0,,,
