Year,End,Length,Rainfall,Start
1957,291,,,
1958,292,164,1224,128
1959,301,175,1427,126
1960,298,153,1368,145
1961,303,181,1621,122
1962,297,159,2207,138
1963,305,152,1147,153
1964,296,151,1398,145
1965,303,207,1184,96
1966,299,166,1349,133
1967,294,169,1070,125
1968,299,165,1733,134
1969,299,180,1426,119
1970,257,113,1384,144
1971,282,154,1282,128
1972,300,169,1209,131
1973,302,174,1816,128
1974,295,165,1042,130
1975,301,163,1656,138
1976,286,124,1199,162
1977,302,175,1579,127
1978,290,136,1441,154
1979,293,150,1358,143
1980,305,148,1690,157
1981,295,178,1321,117
1982,300,199,1051,101
1983,297,159,1433,138
1984,289,172,1662,117
1985,296,163,1746,133
1986,292,177,1049,115
1987,305,155,1383,150
1988,304,200,2245,104
1989,299,164,1465,135
1990,297,149,1298,148
1991,300,156,543,144
1992,304,177,1472,127
1993,300,183,1268,117
1994,286,133,1015,153
1995,297,154,1549,143
1996,284,135,1431,149
1997,273,172,1649,101
1998,305,160,1995,145
1999,304,166,955,138
2000,281,159,2176,122
2001,291,154,1615,137
2002,281,164,1380,117
2003,305,151,826,154
2004,264,114,924,150
2005,303,172,1656,131
2006,276,157,1444,119
2007,261,144,1621,117
2008,286,126,1527,160
2009,300,142,1206,158
2010,284,135,1100,149
2011,287,190,1671,97
2012,298,156,1607,142
2013,302,209,1261,93
2014,285,115,2123,170
2015,286,147,3222,139
2016,301,162,1731,139
2017,305,185,1424,120
2018,303,150,1145,153
2019,255,89,1160,166
2020,297,154,1130,143
2021,303,168,1673,135
2022,291,165,,126
2023,294,,1114,
2024,,,,
