Year,Rainfall,Start,End,Length
1959,415.2,null,252,null
1960,646.8,165,273,108
1961,799.1,161,270,109
1962,767.3,175,295,120
1963,717,129,256,127
1964,815.6,150,276,126
1965,479.9,155,248,93
1966,877.2,134,286,152
1967,521.1,180,296,116
1968,696.5,164,281,117
1969,736.6,166,255,89
1970,1415.8,149,285,136
1971,635.2,158,268,110
1972,644.6,172,284,112
1973,799.5,169,277,108
1974,758.5,153,258,105
1975,742.7,160,285,125
1976,611.4,182,272,90
1977,859.6,159,300,141
1978,882.2,138,272,134
1979,726.6,152,292,140
1980,949.4,154,253,99
1981,879.2,183,295,112
1982,616.5,163,257,94
1983,705.8,173,272,99
1984,943.3,131,264,133
1985,811.4,175,251,76
1986,878.4,156,274,118
1987,767,157,265,108
1988,1543.7,147,304,157
1989,661.8,140,263,123
1990,957.1,140,282,142
1991,580.4,163,303,140
1992,577.2,179,275,96
1993,604.5,189,299,110
1994,463.5,183,241,58
1995,818.7,159,260,101
1996,740.1,164,256,92
1997,762.4,152,284,132
1998,967.6,148,266,118
1999,628.2,183,268,85
2000,793.8,122,264,142
2001,1036.2,171,283,112
2002,1012,165,273,108
2003,631.2,168,293,125
2004,554.3,150,271,121
2005,663.7,165,272,107
2006,851.1,137,268,131
2007,1011.8,160,258,98
2008,777.4,163,264,101
2009,962,null,286,null
2010,632.5,158,260,102
2011,699.8,129,275,146
2012,667.9,165,271,106
2013,482.7,183,264,81
2014,624.1,183,280,97
2015,547.1,158,278,120
2016,793.2,154,268,114
2017,574.2,null,278,null
2018,776.5,155,269,114
2019,657.8,180,239,59
2020,681.7,185,269,84
2021,568,null,261,null
2022,0,null,null,null
