Year,Rainfall,Start,End,Length
1926,0,null,null,null
1927,0,null,null,null
1928,0,null,null,null
1929,0,null,null,null
1930,0,null,null,null
1931,0,null,null,null
1932,0,null,null,null
1933,0,null,null,null
1934,0,null,null,null
1935,0,null,null,null
1936,0,null,null,null
1937,0,null,null,null
1938,0,null,null,null
1939,0,null,null,null
1940,0,null,null,null
1941,0,null,null,null
1942,0,null,null,null
1943,0,null,null,null
1944,0,null,null,null
1945,0,null,null,null
1946,0,null,null,null
1947,683,null,304,null
1948,414.5,178,260,82
1949,1186.6,161,276,115
1950,963.5,162,268,106
1951,709.2,null,271,null
1952,626.1,null,295,null
1953,831.3,154,274,120
1954,891.6,139,256,117
1955,555.9,243,282,39
1956,1406.1,149,292,143
1957,922.2,166,280,114
1958,870,146,255,109
1959,464.4,207,300,93
1960,1306.3,179,243,64
1961,641,169,275,106
1962,675.9,198,272,74
1963,856.8,137,277,140
1964,923.8,170,274,104
1965,727.2,182,253,71
1966,855.6,153,297,144
1967,661.5,154,294,140
1968,1011.9,164,299,135
1969,750.5,153,293,140
1970,839.5,149,256,107
1971,992.5,160,289,129
1972,883.4,157,284,127
1973,1078.4,159,276,117
1974,860.1,146,279,133
1975,1373.2,149,297,148
1976,1030.8,163,263,100
1977,1520.4,150,278,128
1978,1348.7,155,270,115
1979,1054.4,133,291,158
1980,1167.5,157,253,96
1981,914.9,182,295,113
1982,785.7,155,251,96
1983,508.6,164,251,87
1984,1059.2,166,300,134
1985,1503.2,157,283,126
1986,1064,159,290,131
1987,1180,157,287,130
1988,863.3,210,300,90
1989,922.3,154,275,121
1990,689,null,282,null
1991,223.8,188,210,22
1992,1086.2,168,289,121
1993,639.5,null,275,null
1994,489,null,271,null
1995,1074.2,null,259,null
1996,1027,157,281,124
1997,667.4,161,null,null
1998,925.5,null,286,null
1999,749.9,null,299,null
2000,978.7,142,271,129
2001,987.1,170,267,97
2002,763.3,169,279,110
2003,661.4,173,293,120
2004,893.5,139,null,null
2005,1009.4,155,272,117
2006,709.3,149,270,121
2007,1272.5,172,268,96
2008,970.8,142,266,124
2009,968.3,162,274,112
2010,750.6,147,283,136
2011,683.7,129,277,148
2012,558.6,189,264,75
2013,549.7,186,281,95
2014,806.7,164,240,76
2015,560.2,192,266,74
2016,935.5,145,270,125
2017,862.5,141,283,142
2018,1168.6,142,286,144
2019,724.1,135,null,null
