Year,End,Length,Rainfall,Start
1961,278,,,
1962,288,125,892,163
1963,263,115,530,148
1964,272,91,1205,181
1965,259,104,541,155
1966,297,142,571,155
1967,285,130,750,155
1968,284,123,577,161
1969,254,86,624,168
1970,271,129,798,142
1971,267,117,411,150
1972,283,125,656,158
1973,278,105,653,173
1974,265,104,835,161
1975,283,121,803,162
1976,254,,618,
1977,289,129,610,160
1978,301,136,684,165
1979,293,148,853,145
1980,252,76,594,176
1981,296,,383,
1982,262,115,672,147
1983,276,111,856,165
1984,277,119,744,158
1985,266,121,750,145
1986,262,103,556,159
1987,269,107,668,162
1988,281,109,558,172
1989,273,119,541,154
1990,274,91,552,183
1991,248,73,510,175
1992,262,89,664,173
1993,275,,574,
1994,277,121,572,156
1995,273,96,649,177
1996,282,111,649,171
1997,256,93,528,163
1998,283,,488,
1999,284,,437,
2000,291,115,633,176
2001,268,,759,
2002,279,112,673,167
2003,284,118,673,166
2004,250,100,735,150
2005,290,,467,
2006,253,105,742,148
2007,257,91,694,166
2008,278,129,765,149
2009,294,119,770,175
2010,282,,521,
2011,277,100,723,177
2012,287,121,724,166
2013,276,,567,
2014,279,107,558,172
2015,283,113,792,170
2016,278,119,584,159
2017,287,118,599,169
2018,303,130,532,173
2019,250,89,757,161
2020,286,130,620,156
2021,302,,592,
2022,,,,
2023,287,,,
2024,,,,
