Year,End,Length,Rainfall,Start
1959,300,,,
1960,297,147,1279,150
1961,303,296,1083,7
1962,297,165,1467,132
1963,272,143,1004,129
1964,296,288,1120,8
1965,297,136,701,161
1966,297,155,1051,142
1967,295,116,670,179
1968,281,142,1239,139
1969,293,138,915,155
1970,296,173,1139,123
1971,302,157,986,145
1972,284,136,867,148
1973,275,123,1633,152
1974,295,157,831,138
1975,296,166,1387,130
1976,285,127,987,158
1977,297,149,1162,148
1978,288,138,719,150
1979,287,148,921,139
1980,285,171,1052,114
1981,295,148,999,147
1982,273,112,863,161
1983,301,283,1024,18
1984,277,160,1542,117
1985,296,165,1162,131
1986,292,177,939,115
1987,303,148,1132,155
1988,274,119,1256,155
1989,302,149,924,153
1990,282,120,948,162
1991,267,129,707,138
1992,301,161,1119,140
1993,270,90,676,180
1994,267,84,786,183
1995,280,139,1160,141
1996,284,134,1760,150
1997,272,135,1306,137
1998,285,129,1593,156
1999,304,110,979,194
2000,277,148,1512,129
2001,291,150,1121,141
2002,272,107,861,165
2003,302,145,715,157
2004,299,161,768,138
2005,273,141,1269,132
2006,276,140,1139,136
2007,261,129,1043,132
2008,297,173,1264,124
2009,299,159,1015,140
2010,283,140,1113,143
2011,276,107,1050,169
2012,262,98,1161,164
2013,281,113,971,168
2014,291,121,1281,170
2015,282,124,902,158
2016,291,141,1128,150
2017,287,167,984,120
2018,301,,1540,
2019,255,106,1233,149
2020,303,168,1108,135
2021,277,,1011,
2022,289,149,1860,140
2023,278,105,759,173
2024,,,,
