Year,End,Length,Rainfall,Start
1948,261,,,
1949,293,139,1141,154
1950,267,95,844,172
1951,247,112,1023,135
1952,247,95,683,152
1953,260,105,567,155
1954,304,171,910,133
1955,296,142,794,154
1956,287,148,860,139
1957,289,144,724,145
1958,285,125,550,160
1959,300,146,541,154
1960,289,145,1007,144
1961,275,157,854,118
1962,262,130,1068,132
1963,273,155,664,118
1964,289,145,724,144
1965,293,130,814,163
1966,297,135,1036,162
1967,294,,516,
1968,281,119,933,162
1969,289,137,542,152
1970,286,157,908,129
1971,289,145,1010,144
1972,284,135,484,149
1973,301,186,1163,115
1974,278,127,692,151
1975,287,141,849,146
1976,270,112,1004,158
1977,290,147,1115,143
1978,302,142,1018,160
1979,283,143,834,140
1980,269,111,882,158
1981,293,,651,
1982,281,145,673,136
1983,272,93,781,179
1984,278,149,1254,129
1985,297,187,1001,110
1986,275,161,852,114
1987,279,132,1017,147
1988,261,144,1139,117
1989,301,148,735,153
1990,283,130,808,153
1991,283,149,638,134
1992,288,116,763,172
1993,299,,640,
1994,266,84,537,182
1995,258,117,963,141
1996,256,103,1186,153
1997,269,123,966,146
1998,286,151,933,135
1999,272,90,758,182
2000,277,141,1077,136
2001,294,152,852,142
2002,272,98,716,174
2003,297,,599,
2004,211,61,501,150
2005,270,144,1041,126
2006,295,130,967,165
2007,260,125,792,135
2008,273,124,824,149
2009,292,152,831,140
2010,283,130,941,153
2011,275,106,755,169
2012,264,106,927,158
2013,278,98,620,180
2014,240,78,881,162
2015,262,103,597,159
2016,279,121,603,158
2017,295,170,793,125
2018,261,120,1222,141
2019,227,92,627,135
2020,302,139,855,163
2021,,,,173
2022,287,,1219,
2023,294,162,771,132
2024,,,,
