Year,End,Length,Rainfall,Start
1959,264,,,
1960,303,157,1055,146
1961,291,151,1029,140
1962,272,115,807,157
1963,269,144,906,125
1964,297,147,759,150
1965,245,89,478,156
1966,288,126,805,162
1967,285,123,572,162
1968,280,132,915,148
1969,284,128,945,156
1970,297,150,1094,147
1971,300,168,909,132
1972,285,137,646,148
1973,302,134,1135,168
1974,292,134,988,158
1975,297,130,982,167
1976,304,140,980,164
1977,279,133,1101,146
1978,285,147,745,138
1979,251,111,697,140
1980,287,129,896,158
1981,294,114,922,180
1982,283,121,716,162
1983,259,87,698,172
1984,284,151,1062,133
1985,276,141,1018,135
1986,291,132,1139,159
1987,303,139,905,164
1988,267,95,1063,172
1989,302,166,829,136
1990,289,141,602,148
1991,273,108,597,165
1992,262,117,783,145
1993,275,112,844,163
1994,242,72,520,170
1995,277,,749,
1996,283,119,780,164
1997,259,118,1154,141
1998,285,109,1291,176
1999,285,119,757,166
2000,290,115,839,175
2001,267,98,785,169
2002,271,123,1029,148
2003,293,126,772,167
2004,256,94,795,162
2005,287,136,708,151
2006,282,143,1005,139
2007,262,94,931,168
2008,277,130,818,147
2009,295,145,911,150
2010,281,138,730,143
2011,287,103,864,184
2012,279,117,879,162
2013,281,113,722,168
2014,290,107,577,183
2015,288,,647,
2016,254,95,850,159
2017,283,134,935,149
2018,285,120,660,165
2019,272,108,831,164
2020,267,,798,
2021,282,188,968,94
2022,278,,762,
2023,286,110,843,176
2024,,,,
