Year,End,Length,Rainfall,Start
1959,292,,,
1960,296,125,837,171
1961,284,141,1598,143
1962,296,,603,
1963,269,143,1399,126
1964,301,129,983,172
1965,274,120,843,154
1966,290,125,1027,165
1967,298,150,1427,148
1968,299,136,983,163
1969,288,131,1127,157
1970,290,141,1205,149
1971,276,119,767,157
1972,287,137,825,150
1973,285,143,740,142
1974,302,141,932,161
1975,298,160,986,138
1976,258,85,694,173
1977,281,140,1205,141
1978,282,146,1284,136
1979,305,159,1074,146
1980,273,119,681,154
1981,292,112,726,180
1982,269,126,989,143
1983,272,107,1023,165
1984,282,124,1327,158
1985,274,141,1203,133
1986,284,166,1055,118
1987,272,121,944,151
1988,286,138,909,148
1989,288,137,933,151
1990,288,140,842,148
1991,284,153,912,131
1992,274,106,1028,168
1993,283,104,647,179
1994,263,112,958,151
1995,283,,778,
1996,284,123,703,161
1997,291,134,1319,157
1998,289,142,839,147
1999,267,102,578,165
2000,256,118,933,138
2001,281,108,790,173
2002,281,118,932,163
2003,293,135,883,158
2004,271,121,1078,150
2005,285,,935,
2006,262,114,1030,148
2007,266,102,789,164
2008,277,126,864,151
2009,268,135,1039,133
2010,291,115,730,176
2011,277,139,1058,138
2012,288,124,847,164
2013,282,115,785,167
2014,279,136,697,143
2015,284,135,1025,149
2016,278,120,847,158
2017,291,138,931,153
2018,286,131,995,155
2019,300,153,1272,147
2020,295,122,856,173
2021,,,,
2022,,,,
2023,,,,
2024,,,,
