Year,End,Length,Rainfall,Start
1960,305,,,
1961,298,159,1617,139
1962,296,143,1567,153
1963,286,150,1516,136
1964,296,116,1280,180
1965,301,128,1396,173
1966,303,158,1309,145
1967,299,150,1282,149
1968,303,139,986,164
1969,292,128,926,164
1970,293,143,1045,150
1971,288,140,854,148
1972,287,137,1275,150
1973,304,139,1346,165
1974,304,143,1255,161
1975,298,128,981,170
1976,299,135,1105,164
1977,299,122,1211,177
1978,298,136,1667,162
1979,294,148,1238,146
1980,304,145,782,159
1981,296,,736,
1982,295,,1028,
1983,286,136,1127,150
1984,284,122,1132,162
1985,292,148,877,144
1986,304,138,1134,166
1987,276,92,784,184
1988,302,156,780,146
1989,283,147,797,136
1990,293,,747,
1991,305,138,955,167
1992,301,128,856,173
1993,283,,605,
1994,276,111,941,165
1995,285,104,633,181
1996,285,126,532,159
1997,291,148,1508,143
1998,290,,869,
1999,303,,762,
2000,293,149,1125,144
2001,302,129,1312,173
2002,299,132,914,167
2003,302,123,1215,179
2004,280,131,1077,149
2005,290,124,1062,166
2006,286,146,796,140
2007,274,108,907,166
2008,277,114,1040,163
2009,273,97,929,176
2010,284,124,1168,160
2011,304,153,912,151
2012,288,121,1084,167
2013,297,,846,
2014,287,112,562,175
2015,284,105,715,179
2016,292,109,1038,183
2017,295,145,1017,150
2018,285,115,849,170
2019,301,154,1418,147
2020,285,113,896,172
2021,301,118,758,183
2022,288,113,1081,175
2023,287,113,839,174
2024,,,,
