Year,Rainfall,Start,End,Length
1982,455.9,,282,
1983,830.6,147,271,124
1984,1020.3,160,274,114
1985,1032.3,134,303,169
1986,772.7,162,272,110
1987,576.5,184,269,85
1988,1045.7,153,273,120
1989,882.8,137,274,137
1990,817,164,297,133
1991,488.9,162,268,106
1992,924.8,143,293,150
1993,373.8,188,225,37
1994,620.7,160,274,114
1995,690.1,155,271,116
1996,776.9,133,300,167
1997,858.2,130,273,143
1998,760.2,161,303,142
1999,1449.9,154,297,143
2000,534.7,160,266,106
2001,795,166,272,106
2002,1076.2,111,286,175
2003,962.4,148,273,125
2004,836.2,154,297,143
2005,1020.9,130,292,162
2006,794.1,162,281,119
2007,753.4,158,263,105
2008,991.8,131,265,134
2009,1205.8,144,263,119
2010,1016.9,145,275,130
2011,752,185,276,91
2012,795.6,163,279,116
2013,797.7,151,280,129
2014,966.9,141,283,142
2015,2422.3,154,277,123
2016,852.5,159,270,111
2017,1023.3,151,286,135
2018,1186.9,161,286,125
2019,1143.6,140,272,132
2020,936,143,299,156
