Year,End,Length,Rainfall,Start
1960,278,,,
1961,285,125,1024,160
1962,263,103,854,160
1963,257,133,767,124
1964,254,109,751,145
1965,296,138,667,158
1966,289,122,732,167
1967,295,138,618,157
1968,247,99,621,148
1969,268,102,666,166
1970,255,105,954,150
1971,268,120,430,148
1972,284,108,583,176
1973,302,127,856,175
1974,281,136,673,145
1975,298,,725,
1976,256,93,534,163
1977,279,95,880,184
1978,283,120,772,163
1979,291,146,1063,145
1980,271,117,1026,154
1981,291,111,714,180
1982,302,139,756,163
1983,272,107,720,165
1984,267,135,711,132
1985,304,174,1085,130
1986,253,135,793,118
1987,264,,828,
1988,276,95,914,181
1989,273,134,817,139
1990,282,133,781,149
1991,272,114,504,158
1992,272,107,794,165
1993,292,,725,
1994,284,,501,
1995,258,95,940,163
1996,283,118,838,165
1997,281,140,882,141
1998,272,94,837,178
1999,252,,537,
2000,266,101,791,165
2001,284,,596,
2002,276,112,1046,164
2003,280,126,812,154
2004,259,110,879,149
2005,280,130,550,150
2006,243,104,1149,139
2007,253,79,576,174
2008,278,128,645,150
2009,275,110,785,165
2010,282,123,545,159
2011,276,,860,
2012,262,97,596,165
2013,243,63,728,180
2014,283,106,725,177
2015,266,105,610,161
2016,279,,851,
2017,286,136,710,150
2018,285,120,660,165
2019,248,84,762,164
2020,260,97,620,163
2021,284,,669,
2022,276,122,936,154
2023,273,99,702,174
2024,,,,
