Year,End,Length,Rainfall,Start
1960,303,,,
1961,282,142,900,140
1962,259,127,828,132
1963,269,98,658,171
1964,252,102,924,150
1965,273,117,531,156
1966,297,135,734,162
1967,285,129,541,156
1968,287,135,1065,152
1969,293,128,840,165
1970,273,124,949,149
1971,282,150,700,132
1972,303,146,620,157
1973,279,108,1001,171
1974,282,122,889,160
1975,280,113,801,167
1976,284,116,1149,168
1977,289,106,783,183
1978,294,149,1074,145
1979,283,142,757,141
1980,285,131,1006,154
1981,248,68,783,180
1982,280,118,636,162
1983,275,103,699,172
1984,285,123,1175,162
1985,276,145,733,131
1986,292,174,705,118
1987,265,107,698,158
1988,274,100,1072,174
1989,305,169,828,136
1990,282,102,774,180
1991,273,136,757,137
1992,275,102,995,173
1993,272,,681,
1994,252,99,740,153
1995,259,98,1094,161
1996,284,120,904,164
1997,284,123,809,161
1998,266,118,967,148
1999,268,85,628,183
2000,264,142,793,122
2001,269,98,996,171
2002,271,107,1110,164
2003,293,140,625,153
2004,280,133,853,147
2005,273,118,781,155
2006,268,89,720,179
2007,261,101,791,160
2008,268,110,805,158
2009,262,134,695,128
2010,260,113,729,147
2011,277,105,1007,172
2012,279,131,959,148
2013,281,122,713,159
2014,283,111,639,172
2015,276,125,797,151
2016,270,97,807,173
2017,257,80,574,177
2018,285,121,902,164
2019,262,113,927,149
2020,273,120,793,153
2021,,,,
2022,,,,
2023,257,,912,
2024,,,,
