Year,Rainfall,Start,End,Length
1949,741.7,,297,
1950,1384,177,302,125
1951,1629,151,300,149
1952,1135,187,304,117
1953,1434.8,154,302,148
1954,1162.7,167,297,130
1955,1713,164,305,141
1956,1235.8,158,296,138
1957,0,,,
1958,1103.2,198,293,95
1959,0,,,
1960,0,,,
1961,0,,,
1962,0,,,
1963,0,,,
1964,0,,,
1965,0,,,
1966,0,,,
1967,0,,,
1968,1094.9,187,301,114
1969,1124.1,123,290,167
1970,1244.5,150,297,147
1971,1245.7,145,297,152
1972,1322.3,171,301,130
1973,1259.2,139,305,166
1974,1264.6,162,297,135
1975,1289.5,135,299,164
1976,993.8,182,287,105
1977,1531.2,130,304,174
1978,1914.8,139,305,166
1979,1651.1,140,305,165
1980,813,113,305,192
1981,1509,179,298,119
1982,1498.4,137,303,166
1983,1121.2,164,302,138
1984,1253.4,165,302,137
1985,1573.1,131,299,168
1986,1018.6,126,293,167
1987,1034,166,304,138
1988,1181,214,291,77
1989,931.4,137,284,147
1990,1772.1,161,295,134
1991,1246.4,146,305,159
1992,925.8,173,298,125
1993,1061.5,190,300,110
1994,777.5,186,278,92
1995,1019.1,162,276,114
1996,955.1,162,285,123
1997,719.2,154,283,129
1998,1096.9,148,305,157
1999,776.5,166,284,118
2000,980.4,138,292,154
2001,978.2,164,292,128
2002,1149.6,129,280,151
2003,883.9,155,302,147
2004,1058.6,150,277,127
2005,1354.2,155,301,146
2006,1058.5,161,256,95
2007,1208,153,289,136
2008,1300.2,143,279,136
2009,1018.3,135,300,165
2010,1315,159,285,126
2011,1119.8,151,291,140
2012,928,163,288,125
2013,1162,148,282,134
2014,1188.4,177,294,117
2015,1355.2,168,286,118
2016,1110.1,181,293,112
2017,1286.8,164,288,124
2018,1233.4,148,293,145
2019,718.1,152,215,63
