Year,Start,End,Length,Rainfall
1957,,280,,772.594278
1958,172,256,84,673.297139
1959,167,265,98,547.9928474
1960,168,299,131,864.6933243
1961,156,292,136,889.0918938
1962,134,281,147,997.4880791
1963,129,257,128,697.6909401
1964,150,277,127,887.9928474
1965,155,254,99,603.5966621
1966,146,298,152,830.8914169
1967,181,286,105,630.094278
1968,164,283,119,933.7852181
1969,167,294,127,759.3985695
1970,149,275,126,1103.7
1971,170,290,120,596.4952316
1972,173,285,112,726.5
1973,165,303,138,1017.983311
1974,154,281,127,698.3961853
1975,170,294,124,924.3866486
1976,162,262,100,366.8000001
1977,156,299,143,1024.995232
1978,135,286,151,991.9976158
1979,191,288,97,737.3985695
1980,156,296,140,1107.297139
1981,181,274,93,698.5966621
1982,150,291,141,1022.5
1983,150,278,128,638.297139
1984,146,280,134,699.8000002
1985,133,269,136,1035.8
1986,160,269,109,706.7
1987,152,279,127,944.2
1988,171,274,103,1364.584741
1989,,280,280,283.7000002
1990,174,282,108,861.3862807
1991,209,273,64,401.0966621
1992,,279,279,165.8997616
1993,188,245,57,566.7
1994,164,224,60,529.297139
1995,,260,260,568.4976158
1996,158,281,123,853.1980927
1997,158,270,112,795.2
1998,177,273,96,630.094278
1999,189,267,78,705.0990463
2000,131,274,143,1300.693324
2001,180,274,94,676.2995232
2002,180,276,96,1022.594278
2003,178,291,113,510.9000002
2004,138,243,105,809.4976158
2005,153,251,98,656.3985695
2006,163,271,108,802.6980927
2007,166,261,95,950.6980927
2008,165,275,110,1064.693324
2009,166,276,,628.7995232
2010,158,284,126,833.5990463
2011,186,276,90,620.4000001
2012,149,255,106,748.5
2013,166,264,98,644.4976158
2014,,291,291,190.5
2015,,254,254,395.6
2016,158,291,133,783.8985695
2017,149,273,124,546.5
