Year,End,Length,Rainfall,Start
1963,,,,
1964,289,,,
1965,259,111,999,148
1966,296,131,930,165
1967,294,131,659,163
1968,286,152,826,134
1969,293,136,1022,157
1970,291,169,1279,122
1971,303,171,1133,132
1972,284,135,830,149
1973,291,132,939,159
1974,281,136,666,145
1975,296,158,963,138
1976,269,,608,
1977,279,132,1280,147
1978,264,152,768,112
1979,252,135,642,117
1980,263,106,1047,157
1981,296,118,843,178
1982,298,137,920,161
1983,273,118,994,155
1984,283,124,1368,159
1985,280,147,1391,133
1986,276,171,893,105
1987,302,151,1078,151
1988,267,163,1219,104
1989,300,147,974,153
1990,297,158,1150,139
1991,266,121,559,145
1992,291,124,810,167
1993,270,98,535,172
1994,284,128,587,156
1995,280,116,918,164
1996,283,131,1592,152
1997,266,153,988,113
1998,286,175,1171,111
1999,288,159,759,129
2000,271,143,1161,128
2001,291,150,833,141
2002,274,150,935,124
2003,279,138,684,141
2004,302,153,885,149
2005,272,118,1246,154
2006,276,140,999,136
2007,252,95,1112,157
2008,274,127,1054,147
2009,299,153,1041,146
2010,282,135,1149,147
2011,271,102,991,169
2012,262,81,736,181
2013,303,132,842,171
2014,266,96,1084,170
2015,266,,568,
2016,266,117,923,149
2017,286,122,556,164
2018,294,144,1163,150
2019,255,115,1001,140
2020,270,107,1015,163
2021,283,,,
2022,,,,
2023,303,,815,
2024,,,,
