Year,End,Length,Rainfall,Start
1960,297,,,
1961,300,132,759,168
1962,271,139,927,132
1963,267,139,862,128
1964,276,127,708,149
1965,256,,672,
1966,297,134,1005,163
1967,285,,589,
1968,284,123,816,161
1969,254,,480,
1970,256,108,804,148
1971,290,122,541,168
1972,302,131,589,171
1973,302,131,895,171
1974,281,130,797,151
1975,283,136,1287,147
1976,270,108,653,162
1977,278,117,1120,161
1978,290,131,1059,159
1979,293,154,794,139
1980,270,,541,
1981,275,95,730,180
1982,254,,393,
1983,274,123,1015,151
1984,284,,563,
1985,275,,685,
1986,292,,509,
1987,263,,525,
1988,275,,815,
1989,273,,493,
1990,268,84,758,184
1991,268,106,474,162
1992,294,123,762,171
1993,272,143,295,129
1994,238,,325,
1995,296,135,753,161
1996,284,118,1028,166
1997,266,109,627,157
1998,284,122,605,162
1999,286,120,653,166
2000,289,167,1256,122
2001,243,80,776,163
2002,277,129,1027,148
2003,276,,487,
2004,302,168,692,134
2005,285,118,875,167
2006,304,169,1157,135
2007,244,126,868,118
2008,297,156,810,141
2009,285,121,829,164
2010,283,140,680,143
2011,276,126,846,150
2012,298,135,793,163
2013,264,98,914,166
2014,291,108,1127,183
2015,266,117,694,149
2016,279,119,979,160
2017,288,156,825,132
2018,305,162,936,143
2019,239,90,783,149
2020,303,123,697,180
2021,262,,588,
2022,290,118,1133,172
2023,298,,324,
2024,,,,
