Year,End,Length,Rainfall,Start
1960,305,,,
1961,305,299,1496,6
1962,299,120,1183,179
1963,285,147,1341,138
1964,290,283,1014,7
1965,298,145,1253,153
1966,298,123,1167,175
1967,296,152,1279,144
1968,292,166,1117,126
1969,293,122,867,171
1970,295,145,1306,150
1971,295,119,771,176
1972,302,143,953,159
1973,292,137,1110,155
1974,301,139,1460,162
1975,301,144,1263,157
1976,286,137,802,149
1977,302,142,1317,160
1978,296,156,1347,140
1979,305,166,1189,139
1980,298,140,804,158
1981,299,145,1124,154
1982,303,169,1015,134
1983,305,136,1116,169
1984,301,138,1417,163
1985,303,169,1249,134
1986,292,167,905,125
1987,305,143,974,162
1988,284,162,1366,122
1989,283,145,789,138
1990,289,140,1366,149
1991,305,152,562,153
1992,305,132,805,173
1993,300,113,836,187
1994,284,132,761,152
1995,298,149,1225,149
1996,279,109,792,170
1997,293,287,1056,6
1998,305,109,1570,196
1999,304,138,994,166
2000,291,150,1028,141
2001,292,104,1084,188
2002,287,158,1197,129
2003,305,150,1102,155
2004,271,115,950,156
2005,301,135,955,166
2006,288,140,1085,148
2007,299,148,1177,151
2008,297,111,907,186
2009,305,171,1167,134
2010,305,152,844,153
2011,300,149,969,151
2012,299,134,1070,165
2013,303,133,1272,170
2014,298,123,912,175
2015,293,146,1374,147
2016,302,95,821,207
2017,290,168,1034,122
2018,303,128,707,175
2019,294,131,1070,163
2020,293,108,1025,185
2021,302,,,
2022,292,,,
2023,303,165,1001,138
2024,,,,
