Year,Rainfall,Start,End,Length
1980,443.7,,262,
1981,763.3,183,295,112
1982,655.4,163,255,92
1983,636.6,168,275,107
1984,1008.2,161,277,116
1985,977.2,157,276,119
1986,632.9,162,277,115
1987,731.9,166,265,99
1988,1165.5,184,270,86
1989,649.2,153,239,86
1990,642.6,183,282,99
1991,410.7,177,268,91
1992,720,197,294,97
1993,371,189,247,58
1994,381.4,185,242,57
1995,643.8,184,261,77
1996,596.4,164,281,117
1997,956,142,284,142
1998,870.7,183,272,89
1999,727,166,285,119
2000,1074.7,166,277,111
2001,761.3,176,283,107
2002,1136.8,165,278,113
2003,553.8,165,293,128
2004,576.5,169,243,74
2005,784.2,165,273,108
2006,806.5,137,268,131
2007,1028.5,161,261,100
2008,748.8,149,264,115
2009,791.9,167,275,108
2010,746.6,147,283,136
2011,727,172,277,105
2012,637.2,188,279,91
2013,802.6,167,281,114
2014,538.1,183,283,100
2015,757.1,168,278,110
2016,632.4,159,270,111
2017,769.8,150,286,136
2018,808.1,164,271,107
2019,966.6,149,271,122
2020,195.2,,184,
