Year,Rainfall,Start,End,Length
1967,470.7,,265,
1968,646.4,162,282,120
1969,682.4,156,283,127
1970,683.5,141,257,116
1971,581.3,126,261,135
1972,606.9,132,283,151
1973,670.3,155,278,123
1974,684.7,144,293,149
1975,592.6,202,301,99
1976,1849,158,301,143
1977,638,197,286,89
1978,357.7,161,256,95
1979,380.6,150,255,105
1980,606.8,157,260,103
1981,804.8,182,293,111
1982,693.3,207,290,83
1983,1053,136,299,163
1984,821.5,147,280,133
1985,857.2,157,276,119
1986,680,115,293,178
1987,776.7,150,287,137
1988,962.1,133,277,144
1989,549.3,169,273,104
1990,498.6,168,281,113
1991,596.3,186,267,81
1992,780,164,270,106
1993,674.4,180,271,91
1994,310.1,187,287,100
1995,809.8,163,253,90
1996,719.9,166,259,93
1997,506.8,146,258,112
1998,633.9,166,242,76
1999,473.7,143,257,114
2000,913.9,136,277,141
2001,692.9,138,268,130
2002,533.6,186,271,85
2003,469.6,229,250,21
2004,411.2,161,242,81
2005,817.3,153,272,119
2006,734.1,137,269,132
2007,630.4,158,245,87
2008,528.8,172,276,104
2009,527.6,145,273,128
2010,804.3,147,284,137
2011,586.8,183,276,93
2012,463,179,246,67
2013,574.8,183,269,86
2014,1204,163,275,112
2015,382.2,200,260,60
2016,670.5,188,291,103
2017,759.1,134,284,150
2018,887.5,142,262,120
2019,260,146,184,38
