Year,Rainfall,Start,End,Length
1959,1385.1,,302,
1960,1435.3,167,304,137
1961,2129.3,133,305,172
1962,1782.1,159,305,146
1963,1043.9,162,305,143
1964,1635.5,135,297,162
1965,1105.2,174,300,126
1966,209,154,,
1967,1649.9,,297,
1968,1697,135,300,165
1969,1379.2,164,287,123
1970,1108.7,144,297,153
1971,1381.5,146,296,150
1972,1580.9,150,301,151
1973,1672.6,172,303,131
1974,1435.6,156,301,145
1975,1608.1,185,302,117
1976,1208.3,157,285,128
1977,1869.2,128,303,175
1978,2128,139,297,158
1979,1410.5,140,300,160
1980,1489,167,305,138
1981,1372.7,157,301,144
1982,1109.9,136,286,150
1983,841.8,172,299,127
1984,1012.1,166,289,123
1985,1593.5,131,304,173
1986,929.1,155,304,149
1987,1290.6,158,304,146
1988,1412.5,182,301,119
1989,1249.4,137,296,159
1990,1777.3,159,304,145
1991,808.3,174,305,131
1992,1252.7,145,305,160
1993,1160.1,170,305,135
1994,1519,152,292,140
1995,1683.6,159,304,145
1996,1231.3,182,305,123
1997,1735.3,154,292,138
1998,2043.6,146,304,158
1999,804.3,166,305,139
2000,1421.9,139,295,156
2001,1727,157,301,144
2002,1400.2,131,288,157
2003,1585.9,147,305,158
2004,924.5,169,303,134
2005,1297.7,166,304,138
2006,1234.1,148,304,156
2007,1345.3,161,297,136
2008,1412.3,144,297,153
2009,1317.5,167,305,138
2010,978.4,187,285,98
2011,1320.5,151,291,140
2012,1770.9,150,305,155
2013,1731.4,145,303,158
2014,1397.3,141,298,157
2015,1528.9,169,301,132
2016,1337.6,183,302,119
2017,1718.7,150,305,155
2018,867.6,146,305,159
2019,1589,147,294,147
2020,1307.9,184,295,111
2021,1398.2,,303,
2022,,,,
