Year,End,Length,Rainfall,Start
1959,300,,,
1960,298,131,1555,167
1961,300,162,1813,138
1962,295,145,1654,150
1963,282,158,1482,124
1964,302,131,1722,171
1965,266,95,1295,171
1966,302,139,1376,163
1967,299,179,1253,120
1968,299,148,1602,151
1969,299,135,1271,164
1970,297,148,1760,149
1971,298,128,1829,170
1972,302,149,1753,153
1973,302,134,1568,168
1974,303,145,1331,158
1975,298,141,2167,157
1976,299,136,1341,163
1977,298,151,2225,147
1978,295,139,1981,156
1979,293,151,1640,142
1980,300,144,1724,156
1981,296,144,1762,152
1982,302,162,1063,140
1983,275,110,924,165
1984,284,152,1531,132
1985,303,164,2099,139
1986,292,131,1212,161
1987,303,137,1200,166
1988,301,130,1647,171
1989,296,143,1359,153
1990,282,118,1183,164
1991,299,,873,
1992,305,137,1286,168
1993,284,116,883,168
1994,285,137,1062,148
1995,282,121,1052,161
1996,292,124,985,168
1997,289,135,1574,154
1998,303,,1174,
1999,300,135,833,165
2000,281,127,1429,154
2001,289,131,1401,158
2002,279,116,1172,163
2003,304,151,1284,153
2004,296,145,1260,151
2005,300,118,1354,182
2006,299,135,1301,164
2007,298,144,1495,154
2008,279,130,1781,149
2009,300,135,1428,165
2010,284,131,1320,153
2011,277,113,1448,164
2012,279,116,1295,163
2013,303,157,1519,146
2014,291,119,1065,172
2015,280,117,815,163
2016,305,146,1200,159
2017,295,153,1548,142
2018,288,146,1487,142
2019,295,146,1550,149
2020,268,113,1158,155
2021,301,,1381,
2022,291,151,1400,140
2023,287,133,1726,154
2024,,,,
