Year,End,Length,Rainfall,Start
1959,264,,,
1960,298,,1454,
1961,295,140,1404,155
1962,284,132,1284,152
1963,268,140,1180,128
1964,274,102,1153,172
1965,272,99,788,173
1966,297,132,809,165
1967,289,144,1145,145
1968,288,117,1308,171
1969,289,133,1114,156
1970,282,132,1578,150
1971,301,169,1284,132
1972,287,116,908,171
1973,301,142,1603,159
1974,278,119,902,159
1975,295,137,1888,158
1976,283,119,982,164
1977,298,149,2361,149
1978,289,129,1284,160
1979,291,151,1342,140
1980,271,99,1236,172
1981,295,121,781,174
1982,281,127,1089,154
1983,275,108,743,167
1984,277,115,1066,162
1985,288,131,1469,157
1986,277,122,1039,155
1987,303,145,1722,158
1988,275,117,1685,158
1989,282,129,1054,153
1990,263,79,1043,184
1991,296,161,1029,135
1992,304,141,1392,163
1993,258,,844,
1994,266,83,451,183
1995,297,121,1027,176
1996,282,111,1227,171
1997,282,135,1685,147
1998,268,120,1164,148
1999,292,,763,
2000,272,150,1684,122
2001,291,116,1559,175
2002,278,113,1618,165
2003,293,124,1050,169
2004,301,153,895,148
2005,280,115,1671,165
2006,291,143,1366,148
2007,283,123,1265,160
2008,276,136,1236,140
2009,299,116,1225,183
2010,264,106,1052,158
2011,286,102,1116,184
2012,254,113,718,141
2013,302,136,985,166
2014,275,101,699,174
2015,278,107,572,171
2016,286,127,1299,159
2017,288,138,1119,150
2018,285,126,1093,159
2019,269,120,1028,149
2020,278,122,926,156
2021,287,190,1689,97
2022,290,,1257,
2023,,,1228,
2024,,,,
