Year,End,Length,Rainfall,Start
1959,278,,,
1960,297,131,793,166
1961,276,138,945,138
1962,272,87,694,185
1963,268,140,892,128
1964,287,138,986,149
1965,258,102,709,156
1966,282,117,821,165
1967,297,140,810,157
1968,291,128,703,163
1969,255,84,543,171
1970,302,152,1306,150
1971,299,164,663,135
1972,279,125,804,154
1973,295,137,988,158
1974,304,143,985,161
1975,279,109,1076,170
1976,285,125,818,160
1977,299,139,797,160
1978,300,165,1166,135
1979,293,134,912,159
1980,273,98,891,175
1981,295,143,912,152
1982,292,159,958,133
1983,286,113,751,173
1984,283,146,967,137
1985,269,136,998,133
1986,275,117,820,158
1987,294,112,835,182
1988,282,110,995,172
1989,273,136,1086,137
1990,281,112,707,169
1991,272,96,741,176
1992,285,147,762,138
1993,273,85,781,188
1994,269,121,902,148
1995,273,110,876,163
1996,281,111,556,170
1997,281,120,789,161
1998,282,136,925,146
1999,255,70,692,185
2000,269,147,1147,122
2001,287,111,932,176
2002,279,114,771,165
2003,293,128,905,165
2004,277,130,938,147
2005,289,117,641,172
2006,283,146,898,137
2007,267,102,737,165
2008,278,132,779,146
2009,294,166,621,128
2010,282,87,787,195
2011,275,147,720,128
2012,262,87,555,175
2013,276,106,1118,170
2014,274,87,469,187
2015,279,107,861,172
2016,299,109,682,190
2017,287,123,888,164
2018,271,106,905,165
2019,271,119,992,152
2020,272,,907,
2021,302,201,849,101
2022,288,113,966,175
2023,287,,,
2024,,,,
