Year,End,Length,Rainfall,Start
1959,263,,,
1960,297,147,496,150
1961,303,135,736,168
1962,273,128,922,145
1963,257,81,470,176
1964,254,108,764,146
1965,295,142,517,153
1966,297,135,702,162
1967,294,,503,
1968,266,104,731,162
1969,284,128,631,156
1970,257,116,685,141
1971,292,148,635,144
1972,302,153,815,149
1973,302,127,879,175
1974,293,135,499,158
1975,301,149,779,152
1976,271,121,727,150
1977,292,142,958,150
1978,275,114,785,161
1979,252,102,487,150
1980,304,147,689,157
1981,293,111,837,182
1982,261,,405,
1983,297,142,1021,155
1984,285,155,1010,130
1985,302,169,863,133
1986,291,176,554,115
1987,287,132,902,155
1988,305,201,1030,104
1989,268,132,593,136
1990,287,115,770,172
1991,304,,273,
1992,294,133,743,161
1993,299,170,566,129
1994,249,,540,
1995,248,98,826,150
1996,278,128,937,150
1997,258,117,766,141
1998,302,137,990,165
1999,285,,881,
2000,266,147,1075,119
2001,275,99,743,176
2002,251,84,716,167
2003,294,,530,
2004,243,93,463,150
2005,294,148,785,146
2006,276,140,976,136
2007,261,106,970,155
2008,280,120,542,160
2009,299,154,490,145
2010,254,107,574,147
2011,275,92,658,183
2012,278,119,752,159
2013,302,136,630,166
2014,275,92,1001,183
2015,282,,554,
2016,278,120,850,158
2017,284,117,387,167
2018,268,123,953,145
2019,248,70,589,178
2020,271,112,566,159
2021,302,,1042,
2022,258,,948,
2023,286,164,730,122
2024,,,,
