Year,End,Length,Rainfall,Start
1959,302,,,
1960,304,137,1435,167
1961,305,172,2129,133
1962,305,146,1782,159
1963,305,143,1043,162
1964,297,162,1635,135
1965,300,126,1105,174
1966,,,,154
1967,297,,,
1968,300,165,1696,135
1969,287,123,1379,164
1970,297,153,1108,144
1971,296,150,1381,146
1972,301,151,1580,150
1973,303,131,1672,172
1974,301,145,1435,156
1975,302,117,1608,185
1976,285,128,1208,157
1977,303,175,1869,128
1978,297,158,2128,139
1979,300,160,1410,140
1980,305,138,1488,167
1981,301,144,1372,157
1982,286,150,1109,136
1983,299,127,841,172
1984,289,123,1012,166
1985,304,173,1593,131
1986,304,149,929,155
1987,304,146,1290,158
1988,301,168,1412,133
1989,296,288,1249,8
1990,304,145,1777,159
1991,305,131,808,174
1992,305,160,1252,145
1993,305,135,1160,170
1994,292,140,1519,152
1995,304,145,1683,159
1996,305,123,1231,182
1997,292,286,1735,6
1998,304,158,2043,146
1999,305,302,804,3
2000,295,156,1421,139
2001,301,144,1727,157
2002,288,157,1400,131
2003,305,158,1585,147
2004,303,134,924,169
2005,304,138,1297,166
2006,304,156,1234,148
2007,297,294,1345,3
2008,297,285,1412,12
2009,305,138,1317,167
2010,285,267,978,18
2011,291,140,1320,151
2012,305,155,1770,150
2013,303,158,1731,145
2014,298,157,1397,141
2015,301,132,1528,169
2016,302,119,1337,183
2017,305,155,1718,150
2018,305,159,867,146
2019,294,147,1589,147
2020,295,111,1371,184
2021,303,,,
2022,292,,1225,
2023,303,177,1589,126
2024,,,,
