Year,Start,Length,Rainfall,End,sum_RainyDays,Jan_spells,Feb_spells,JanFeb_spells,March_spells,OND_spells,max24hourly,sum_RD50
1959,,,937.3,300,59,,3,,5,,71.9,2
1960,167,131,1555.484,298,81,4,1,4,4,120,119.38,4
1961,138,162,1813.412,300,106,3,7,7,6,43,155.194,6
1962,150,145,1654.542,295,96,4,2,4,5,92,182.118,9
1963,124,158,1482.1836,282,82,1,5,5,12,93,171.196,3
1964,171,131,1722.9836,302,79,7,5,7,3,96,120.65,10
1965,171,95,1295.888,266,70,5,3,5,7,93,74.422,9
1966,163,139,1376.906,302,98,3,2,3,5,79,120.9,5
1967,120,179,1253.702,299,82,8,4,8,5,50,58.928,3
1968,151,148,1602.0342,299,90,3,4,4,3,126,128.016,7
1969,164,135,1271.754,299,73,7,5,7,7,76,138.938,7
1970,149,148,1760.182,297,93,4,4,4,7,100,117.348,7
1971,170,128,1829.308,298,83,6,5,6,5,154,125.222,9
1972,153,149,1753.108,302,81,4,4,4,7,81,128.016,10
1973,168,134,1568.196,302,100,1,4,4,3,73,103.378,5
1974,158,145,1331.468,303,74,6,8,8,4,118,119.634,7
1975,157,141,2167.382,298,99,3,3,3,2,121,141.732,12
1976,163,136,1341.918,299,80,4,10,10,2,114,83.312,5
1977,147,151,2225.294,298,105,4,3,4,3,33,228.346,13
1978,135,160,1981.962,295,91,7,5,7,2,54,197.358,8
1979,142,151,1640.586,293,96,5,6,6,3,103,81.788,7
1980,156,144,1724.2,300,72,8,2,8,5,76,213.4,7
1981,152,144,1762.7,296,84,5,6,6,11,43,149.9,10
1982,140,162,1063.4,302,73,4,6,6,3,116,59.6,3
1983,165,110,924.7,275,70,12,4,12,2,123,76.5,2
1984,132,152,1531.4,284,79,5,4,5,5,46,129.4,5
1985,139,164,2099.9,303,99,2,7,7,8,26,185.8,9
1986,161,131,1212,292,76,3,3,3,9,145,66,5
1987,166,137,1200,303,83,2,5,5,5,90,71.9,2
1988,171,130,1647.6,301,92,5,5,5,2,138,159.8,8
1989,153,143,1359.1,296,68,9,4,9,16,113,117.8,9
1990,164,118,1183.46,282,74,3,7,7,8,152,118,6
1991,180,119,873.3,299,53,10,10,10,7,66,87,5
1992,168,137,1286,305,70,2,2,2,,209,113,8
1993,168,116,883.4,284,65,7,4,7,11,59,80.6,3
1994,148,137,1062.4,285,63,4,6,6,4,185,80.5,5
1995,161,121,1052.6,282,77,9,2,9,4,74,85.5,3
1996,168,124,985.9,292,57,5,,,,102,59.5,3
1997,154,135,1574.1,289,81,3,7,7,4,103,121.8,8
1998,187,116,1174,303,70,2,5,5,3,51,94.6,6
1999,165,135,833.9,300,68,4,4,4,4,64,53.4,1
2000,154,127,1429.5,281,102,2,2,2,2,89,74.8,3
2001,158,131,1401.6,289,84,3,4,4,6,86,125.8,5
2002,163,116,1172.9,279,63,7,9,9,16,60,67.6,7
2003,153,151,1284.2,304,75,4,6,6,7,53,71.8,5
2004,151,145,1260,296,70,3,8,8,11,97,100.1,6
2005,182,118,1354.4,300,73,3,3,3,6,141,113.4,3
2006,164,135,1301.4,299,79,3,6,6,5,73,155.2,4
2007,154,144,1495.6,298,76,4,8,8,9,183,87.3,6
2008,149,130,1781.5,279,80,7,2,7,5,113,100.3,9
2009,165,135,1428.8,300,75,4,2,4,9,114,85.6,7
2010,153,131,1320.1,284,66,8,5,8,2,110,130.6,6
2011,164,113,1448.2,277,69,4,7,7,7,95,226.7,6
2012,163,116,1295.2,279,68,3,4,4,5,202,141.6,5
2013,146,157,1519.3,303,71,3,4,4,6,34,237.5,5
2014,172,119,1065,291,65,2,3,3,7,197,91.5,2
2015,163,117,815.7,280,59,5,9,9,7,183,83.4,2
2016,159,146,1200.6,305,71,5,5,5,5,203,69.7,3
2017,142,153,1548.7,295,81,10,7,10,5,164,119.8,5
2018,142,146,1487.5,288,68,4,6,6,7,172,140,7
2019,149,146,1550.1,295,64,9,6,9,7,168,124.1,8
2020,155,113,1158.1,268,72,5,,,3,174,,
2021,170,131,1166.6,301,67,,2,,5,233,,
2022,140,151,1400.6,291,78,2,6,6,4,197,,7
2023,,,,,,,,,,,,
