Year,End,Length,Rainfall,Start
1969,,,,
1970,291,,879,
1971,291,147,829,144
1972,284,136,669,148
1973,305,175,1198,130
1974,280,128,698,152
1975,295,148,1008,147
1976,274,98,693,176
1977,298,119,1344,179
1978,302,144,923,158
1979,294,156,854,138
1980,260,103,866,157
1981,295,111,783,184
1982,280,117,854,163
1983,271,125,764,146
1984,283,124,849,159
1985,283,151,1080,132
1986,297,142,1111,155
1987,304,150,854,154
1988,,,,
1989,241,,,
1990,282,102,1028,180
1991,300,,301,
1992,304,,870,
1993,292,122,503,170
1994,211,,352,
1995,174,13,221,161
1996,283,117,921,166
1997,272,105,893,167
1998,239,76,587,163
1999,285,122,752,163
2000,276,153,1133,123
2001,283,115,885,168
2002,274,116,1087,158
2003,281,114,613,167
2004,243,114,803,129
2005,274,95,945,179
2006,275,137,1265,138
2007,247,89,1054,158
2008,265,118,1128,147
2009,300,136,690,164
2010,283,129,928,154
2011,276,147,740,129
2012,279,137,762,142
2013,281,115,1085,166
2014,254,82,957,172
2015,278,,693,
2016,268,113,825,155
2017,303,171,678,132
2018,302,,930,
2019,,,809,165
2020,272,,762,
2021,,,,
2022,275,,,
2023,252,,450,
2024,,,,
