Year	Start	End	Length	Rainfall	n_rainday_season	mean_tmin	mean_tmax
1949		296					
1950	158	275	117	791.4	58	15.80219178	27.95287671
1951	118	268	150	1123.4	76	16.0636612	27.65819672
1952	151	295	144	1162.4	71	16.04739726	28.12712329
1953	144	267	123	731	68	16.01671233	28.19424658
1954	131	279	148	1075.1	85	16.1539726	27.20630137
1955	151	306	155	1005.1	88	16.39371585	27.02322404
1956	133	282	149	817.4	95	15.90438356	26.95452055
1957	161	271	110	1070.5	69	16.84986301	28.33150685
1958	131	274	143	1000.8	73	16.54657534	28.01232877
1959	125	281	156	830.6	60	16.37431694	27.5147541
1960	131	297	166	1132.2	95	16.97726027	27.99452055
1961	132	314	182	1345.4	93	16.14246575	27.01835616
1962	133	281	148	908.9	90	15.89123288	27.20109589
1963	138	271	133	838.8	61	16.16284153	27.95163934
1964	145	281	136	855.3	78	15.5630137	27.16328767
1965	128	277	149	713.8	71	16.26270718	27.73214286
1966	163	300	137	951.6	81	17.04171271	28.3320442
1967	120	303	183	701.9	72	16.21643836	27.5273224
1968	125	289	164	1023.5	109	16.76054795	27.98269231
1969	153	246	93	706.3	54	16.41917808	28.25643836
1970	129	280	151	1186.4	86	16.42328767	27.94547945
1971	155	281	126	699.8	65	16.39098361	28.03688525
1972	176	292	116	641.5	47	16.55616438	28.45342466
1973	121	290	169	1068.1	106	16.1509589	27.73780822
1974	160	274	114	610.1	62	16.36694215	28.2206044
1975	150	301	151	1146.7	89	16.18241758	27.5290411
1976	160	289	129	922.7	68		
1977	135	305	170	1225.8	104		
1978	152	292	140	655.9	67	16.89752747	28.86630137
1979	141	302	161	1036.1	77	16.75300546	28.32438356
1980	149	307	158	1130	87		
1981	147	299	152	795.3	57	16.51808219	28.6709589
1982	147	272	125	753.9	54	17.14093407	29.2890411
1983	147	284	137	838.6	60	17.0204918	28.9510929
1984	133	299	166	1256.7	87	16.56181319	28.39855072
1985	129	306	177	1047.7	95	16.18131868	27.46925208
1986	180	279	99	446.5	42	16.69309392	
1987	150	290	140	909.9	76	17.040625	
1988	104	294	190	1179.7	80	16.42521008	27.94630682
1989	139	275	136	998.6	58		
1990	138	285	147	738.4	74		
1991	161	309	148	481.9	55		29.33481894
1992	161	296	135	1121.3	74		28.25316804
1993	133	255	122	758.1	53		
1994	152	284	132	582.7	50	16.97945205	29.02587209
1995	160	280	120	924.9	73	17.39781421	28.47677596
1996	147	301	154	1020.6	73	17.06328767	28.63232877
1997	137	256	119	743.9	62	17.1939726	28.87315068
1998	149	298	149	1062.5	79	17.05835616	28.58986301
1999	147	302	155	915.6	75	16.78934426	28.40054645
2000	124	293	169	1150.5	95	16.6	28
2001	140	288	148	879.3	67	16.90958904	29.16383562
2002	148	298	150	1092.4	70		
2003	162	303	141	773	67	16.73934426	29.01671233
2004	139					17.0490411	29.54136986
2005	150	288	138	787.3	69		
2006	187	281	94	751.7	51		
2007	141	272	131	797.4	65	16.8773224	28.8773224
2008	141	285	144	982.9	80	16.8230137	29.23753425
2009	143	300	157	1024.6	74		
2010	146	292	146	801.1	79	17.53561644	29.39041096
2011	146	290	144	988	70	17.30245902	29.09453552
2012	150	275	125	836.6	56	17.55426997	29.54490358
2013	167	287	120	748.2	66	17.55232877	29.13604651
2014	172	295	123	798.2	57	17.41464088	29.38708791
2015	212	282	70	330.4	29	17.55191257	
2016	138	310	172	1146.4	72	16.90473538	
2017		279					
2018	170	260	90	544.8	40		
2019	150						
2020	155	305	150	974.2	77		
2021		263					
2022							
