Year,Rainfall,Start,End,Length
1953,783.9,,258,
1954,1462.1,181,305,124
1955,1561.3,164,296,132
1956,1483.8,150,294,144
1957,1113.6,168,257,89
1958,1149.2,161,288,127
1959,1009.2,155,264,109
1960,1075.2,167,298,131
1961,1404.9,155,295,140
1962,1274.6,152,284,132
1963,1167.8,128,268,140
1964,1146.6,173,274,101
1965,862.5,173,297,124
1966,1144.8,144,289,145
1967,1421.1,171,288,117
1968,1467.9,156,288,132
1969,1114.3,156,289,133
1970,1575.4,149,282,133
1971,1285,132,301,169
1972,907.9,171,287,116
1973,1603.7,159,301,142
1974,903.4,159,278,119
1975,1889.1,158,295,137
1976,983.4,164,283,119
1977,2361.5,149,298,149
1978,1285.2,160,289,129
1979,1342.2,140,291,151
1980,1250.2,172,300,128
1981,781.4,174,295,121
1982,1090.3,154,281,127
1983,757.2,162,275,113
1984,1049.7,162,277,115
1985,1439.6,157,288,131
1986,1020.1,155,277,122
1987,1723.1,158,303,145
1988,1680.1,158,275,117
1989,1054.6,153,282,129
1990,1069.2,162,282,120
1991,1029.4,135,296,161
1992,1659.8,165,304,139
1993,844.7,188,258,70
1994,452.9,183,266,83
1995,1027.9,176,297,121
1996,1227.6,171,282,111
1997,1685.5,147,282,135
1998,1163.8,148,268,120
1999,763.5,194,292,98
2000,1684.2,122,272,150
2001,1676,175,266,91
2002,1460.2,165,278,113
2003,1106.7,169,293,124
2004,896.3,148,301,153
2005,1671,165,280,115
2006,1366.4,148,291,143
2007,1261,160,283,123
2008,759.5,191,276,85
2009,1205.5,183,299,116
2010,1084.4,158,264,106
2011,1141.6,129,286,157
2012,725.5,141,254,113
2013,960.8,166,302,136
2014,701.5,174,275,101
2015,572.6,171,278,107
2016,1196.1,159,286,127
2017,1168.2,150,288,138
2018,1092.9,159,285,126
2019,1046.1,149,269,120
2020,926.1,156,278,122
2021,1465.5,172,287,115
2022,0,,,
