Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1944,,,,,,,,,,,
1945,,299,,,36.7,22.6,17.2,13.3,27.4,18.3,
1946,135,301,166,1187,36.6,24.3,15.2,6.4,27.5,16.1,
1947,140,322,182,1213,36,23,19.4,6.4,27.9,16.2,
1948,176,285,109,775,36.7,23.8,17.6,7.2,27.4,16.5,
1949,132,308,176,1271,36.9,25,18.3,7.8,28.5,16.8,
1950,182,278,96,748,34.7,23.3,18.1,6.9,26.6,15.8,
1951,129,273,144,1216,34.6,23.2,18.7,5.8,27.4,15.8,
1952,133,292,159,971,37.2,23.5,20.8,6.8,28.2,16.2,
1953,158,279,121,712,36.7,24.8,19.2,6.7,28.2,16.3,
1954,129,279,150,1249,37,24.8,18,6.7,28,16.1,
1955,154,317,163,1012,36.4,24.9,19.7,2.6,27.8,16.1,
1956,134,315,181,1206,35.6,23.1,15.6,6.3,27.2,15.9,
1957,167,263,96,834,37.6,24.9,16.7,2.7,28.5,16.8,
1958,132,271,139,851,36.5,24.9,16.6,8.2,28.5,16.6,
1959,141,292,151,978,35.9,23.8,19.9,8.3,28.4,16.6,
1960,150,319,169,1220,35.1,24,19.2,7.9,27.9,16.8,
1961,131,259,128,1291,36.4,24.2,20.1,8.9,27.7,16.9,
1962,134,288,154,1172,35.1,23.3,19.4,5.2,27.4,16.4,
1963,128,260,132,909,35.7,23.7,20.1,6.1,27.1,16.2,
1964,144,288,144,1028,35.1,23.8,18,6.4,27.7,16.1,
1965,153,279,126,787,35.1,23.8,19,4,27.2,15.9,
1966,143,303,160,1018,35.6,24.6,19.8,8.3,28.2,17,
1967,120,278,158,785,35.5,23.8,17.3,7.2,27.5,16.6,
1968,134,314,180,1241,36.5,23.6,15.1,3.3,27.7,16.1,
1969,118,273,155,877,35.6,24.3,20.7,7.1,28.1,16.7,
1970,130,281,151,1280,34.8,23.8,20.7,6.2,28,16.6,
1971,143,277,134,884,35,24.8,18.3,5.1,27.4,16.1,
1972,168,310,142,967,36.4,24.1,19.2,7.2,27.8,16.6,
1973,147,297,150,1334,35.6,24.2,20.2,6.5,27.9,16.5,
1974,148,287,139,753,35.2,24.4,19.8,6.7,27.3,16.1,
1975,144,292,148,947,35.2,24.4,20.8,6.2,27.8,16.2,
1976,163,294,131,1083,35.8,24.5,15.6,3.7,27.4,16.3,
1977,154,305,151,1469,36.6,24.7,20.5,6.4,28.3,16.4,
1978,159,293,134,1011,35.5,24.6,20.9,6.2,27.9,16.4,
1979,138,306,168,1000,35.3,23.8,18.4,6.4,28,16.5,
1980,159,289,130,1057,35.1,24,21.4,5.9,28,16.4,
1981,181,266,85,634,37.4,24,19.5,5.2,28.5,16.3,
1982,135,257,122,873,36.3,26.4,18.8,7.6,28.1,16.5,
1983,155,278,123,822,37.2,24.7,19.5,7.2,29.4,17.3,
1984,132,303,171,1289,36,23.6,20.2,8.7,28.4,16.8,
1985,123,292,169,1026,36.4,23.3,19.1,5.8,27.8,16.6,
1986,154,279,125,881,36.4,24.5,20.6,5.9,27.8,16.6,
1987,183,294,111,1033,,24.8,,6,,17.2,
1988,153,296,143,1248,36.5,24.5,20.9,8.5,28.5,17.1,
1989,137,262,125,890,37.4,25,18,8.6,27.6,16.8,
1990,169,297,128,707,38,25,17.4,6.4,29,17,
1991,128,255,127,655,,24,,7.5,,16.7,
1992,141,288,147,989,,24.3,,8,,17.5,
1993,158,261,103,717,36.1,23.7,21.5,7.8,28.5,17.1,
1994,,291,,733,39,25.9,21,4.9,29.2,17,
1995,162,282,120,1009,37.6,24.6,20.8,4.8,29.7,17.4,
1996,152,273,121,1132,36.7,26.7,18.2,6,28.7,17,
1997,142,291,149,850,,,,,,,
1998,149,301,152,1081,37,,20.7,,29.7,,
1999,142,276,134,695,36.7,24.2,20.1,6.7,28.4,17,
2000,126,296,170,1392,36,24.8,20.7,7.1,28.4,17,
2001,163,292,129,916,,,,,,,
2002,133,298,165,1045,,,,,,,
2003,161,301,140,1099,,,,,,,
2004,134,274,140,1207,,,,,,,
2005,150,309,159,,37.2,23.5,22,8.9,30,17.5,
2006,137,290,153,1931,37.2,24.4,21,8.6,29.2,17.1,
2007,112,280,168,1671,,,,,,,
2008,161,270,109,1453,37,,20.8,,29.2,,
2009,130,293,163,2001,35.9,24.7,20.7,7.3,29.3,17.2,
2010,146,265,119,1393,37.7,25.4,20,9,29.8,17.6,
2011,,301,,1897,39.1,25,20.1,6,29.7,17.3,
2012,160,283,123,1004,,24.5,,7.6,,17.3,
2013,142,288,146,1419,,25.3,,8.2,,17.3,
2014,174,263,89,926,40.5,22.9,22.5,5.2,29.7,16.1,
2015,156,288,132,899,38.6,24,22,5,29.9,15.3,
2016,142,302,160,1076,38.8,23.9,21.6,4.5,29.9,14.7,
2017,120,283,163,981,43.2,23.9,22.2,2,29.5,15.2,
2018,141,274,133,1349,36.8,22.2,19.2,7.6,29.6,15.6,
2019,150,286,136,1334,,24.9,,6.4,,17.3,
2020,169,300,131,1093,,24.8,,9.8,,18,
2021,172,309,137,913,,25.9,,8.2,,17.9,
2022,138,309,171,1320,,24.7,,9.5,,17.7,
2023,132,284,152,912,,26,,8.5,,18.2,
2024,138,290,152,995,,26.6,,7.8,,18.3,
2025,,,,,,21.3,,10.6,,18,
