Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1993,150,250,100,551,,,,,,,
1994,179,276,97,338,,,,,,,
1995,144,287,143,754,35,25.4,24.5,20.6,31.3,22.8,
1996,138,298,160,992,,26.4,,21,,23,
1997,138,251,113,884,,26.7,,21.4,,24.5,
1998,164,292,128,1194,34.1,25.5,24.6,19.8,30.1,23.1,
1999,145,291,146,752,,,,,,,
2000,154,296,142,781,35,27.5,24.6,20.1,31.3,24,
2001,174,264,90,693,36.6,27.2,29.5,22.2,33,24.6,
2002,170,295,125,917,,28.4,,21.5,,24.7,
2003,153,286,133,723,,26.4,,21.3,,23.5,
2004,,245,,482,,26,,21.9,,23.9,
2005,147,286,139,1114,,24.9,,19.8,,22.5,
2006,165,245,80,761,38.1,28.5,27.6,21.3,33.9,24.8,
2007,151,274,123,1238,37.2,25.7,21.2,19,29.5,22.5,
2008,141,299,158,1189,36.4,25.6,26.1,20.2,31,23,
2009,141,305,164,828,36.1,26.5,28.1,20.2,32.5,24,
2010,147,303,156,1155,34,,26.2,,30.8,,
2011,148,302,154,878,37.5,,27.1,,32.7,,
2012,150,265,115,631,35.7,,26.3,,30.9,,
2013,166,265,99,566,39.1,,27,,32.7,,
2014,163,265,102,543,39.7,,28.5,,32,,
2015,,299,,637,41.1,,31.2,,37.1,,
2016,150,288,138,1065,39.2,20.6,26.7,14.2,33,17.9,
2017,133,269,136,785,38,20.2,25.9,16.4,32.3,17.8,
2018,180,246,66,425,36,19.9,29.4,15.5,33.8,17.4,
2019,,245,,,36.3,,31.9,,33.7,,
2020,,285,,1010,35.8,,27.3,,31.5,,
2021,170,252,82,746,41,23.2,28,15.2,35.8,19.3,
2022,,,,,34.8,19.1,31,15.4,32.8,17.2,
2023,,249,,625,40.2,22.8,29.9,16.9,37,20.9,
2024,135,256,121,903,41.1,20.1,32.9,14.8,38,17.5,
2025,,,,,31.2,,25.8,,28.8,,
