Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1949,,292,,454,,,,,,,
1950,170,246,76,526,32.6,19.8,23.1,15.7,27.7,17.3,
1951,114,266,152,787,29.4,,19.6,,26.3,,
1952,148,298,150,1103,32.2,19.2,20.9,14.1,26.9,17,
1953,133,270,137,848,32.3,20,22.9,14.9,27.5,17.1,
1954,144,259,115,958,29.5,18.6,21.7,15.9,26.4,17.1,
1955,145,286,141,886,30,18.5,21.1,13.3,26.9,16.6,
1956,124,273,149,827,29.4,18.2,20.3,11.1,26.1,16.1,
1957,122,268,146,1043,32.8,20.1,19.5,13.9,26.6,17.1,
1958,113,269,156,829,30.7,19.3,20.5,15,27,17.1,
1959,158,253,95,745,34.3,19.2,21.6,14.2,27,17.5,
1960,132,296,164,851,33.7,18.4,23.5,13.7,28.5,16.7,
1961,130,259,129,796,31.7,17.7,23.8,11.6,28.3,15.6,
1962,130,270,140,1174,27.9,18.4,22.3,14.9,25.2,17.2,
1963,143,256,113,596,32,18.1,20.6,9.9,27.6,16.1,
1964,127,262,135,911,29.2,18,22.8,11.8,26,16.1,
1965,129,273,144,586,33.1,18.8,25.5,12.8,29.2,16.2,
1966,157,282,125,729,33.4,19.5,22.2,13.9,28.1,16.7,
1967,122,257,135,778,33.9,18.6,22.9,9.4,27.9,14.8,
1968,134,293,159,761,30.6,19.4,22.7,13,27.5,16.5,
1969,96,245,149,776,29.6,18.6,22.2,15.7,25.1,17.3,
1970,133,255,122,752,31.1,17.4,23.9,10.1,27.9,15.2,
1971,137,294,157,913,31.6,18.2,22.2,14.2,27.1,16.6,
1972,,255,,417,34.4,19.9,25.6,15.6,30.4,17.5,
1973,163,295,132,1162,28.2,17.9,20.9,15.1,25.2,16.5,
1974,136,272,136,888,28,18,17.4,13.4,24.4,16.6,
1975,153,320,167,931,31.1,18.1,21.7,15,25.9,16.6,
1976,163,245,82,418,33,18.5,23.5,12.5,27.8,16.8,
1977,153,306,153,1138,28.2,18.9,23.1,14.9,25.6,17.3,
1978,150,272,122,705,29.3,18.7,22.2,11.5,25.9,16.1,
1979,123,275,152,1061,28.5,19.4,19.6,12.2,25.5,16.2,
1980,131,267,136,935,29.6,18.8,23.9,13.1,26.9,16.5,
1981,,258,,555,33.1,19,25.1,12.8,28.6,16.4,
1982,104,247,143,634,33.1,19.2,24.6,14.8,29.9,17.1,
1983,144,245,101,532,30.4,18.8,22.9,12.8,26.5,16.8,
1984,142,257,115,799,29.5,20,20.4,14,26.4,17,
1985,151,285,134,1047,30.5,19,23,15,26.8,17.1,
1986,103,245,142,619,32,18.6,16.6,11.5,27.7,16.1,
1987,151,278,127,687,30.7,19.5,23.1,16.4,27.8,18,
1988,154,266,112,1014,33.1,19.4,21.2,14.6,27.3,16.8,
1989,138,253,115,889,34.8,20.5,19.5,13.4,29,17.1,
1990,139,275,136,596,32.9,23.6,21.5,13.2,28.3,17.1,
1991,162,245,83,477,32.8,19,20,14.9,27.4,17.1,
1992,148,278,130,791,34,18.9,20.5,12.2,27.1,17.1,
1993,148,248,100,535,30.6,19.1,23.4,13.4,28.1,17,
1994,152,249,97,408,32.9,19.5,22.8,13.2,28.9,17.5,
1995,149,278,129,903,30.6,18.7,21.3,14.8,27.1,16.8,
1996,138,297,159,1072,30.8,19.8,23.3,14.4,27.3,17.4,
1997,139,276,137,653,30.5,19.5,24.5,16.1,28.7,17.6,
1998,156,279,123,747,29.9,19.4,20,14.2,26.2,17.3,
1999,152,289,137,800,31.9,19.5,20.6,14.6,27.9,16.8,
2000,150,292,142,904,30.4,18.8,23.1,11.4,27.3,16.7,
2001,139,245,106,615,32.1,19.2,22.6,12.9,28.7,17.1,
2002,163,285,122,669,34.5,19.2,22.4,15.7,29.3,17.5,
2003,161,296,135,954,33.9,19.2,25.7,13.7,28.7,17.1,
2004,158,250,92,524,30.6,19.9,23.7,15.1,26.2,17.9,
2005,134,282,148,913,30.7,19.6,23.1,14.9,27.7,17.5,
2006,169,259,90,931,33.3,20.8,24.7,13.5,29.3,18,
2007,129,245,116,998,30.6,18.5,18.1,14.6,24.9,17.2,
2008,143,282,139,804,31.3,19,22,16.2,26.9,17.4,
2009,132,279,147,891,31.1,19.1,23.1,15.3,27.9,17.5,
2010,146,280,134,824,30.2,18.9,20.6,15.5,26.7,16.9,
2011,145,267,122,774,32,,22.8,,27.9,,
2012,147,,,,30.7,21.4,21.6,16,27.5,18.1,
2013,,250,,,34.1,19.9,24.1,17,28.6,18.4,
2014,168,267,99,802,33.4,19.5,24,16.2,28.7,18.3,
2015,142,245,103,483,34.5,20,23.2,17,30.8,18.5,
2016,142,273,131,633,35,19.9,22.9,16.8,28.5,18.1,
2017,136,296,160,846,32.5,19.4,21.7,15.4,28.6,17.7,
2018,183,245,62,245,34.1,22.9,26.6,14.8,30.2,18,
2019,181,245,64,400,35.9,20.8,25.8,17,31.3,18.8,
2020,141,256,115,553,31.9,19.2,24,16.8,27.6,18.2,
2021,127,245,118,,35.9,,24.1,,31.8,,
2022,135,248,113,727,34.4,18.8,21.9,12,28.8,16.9,
2023,149,245,96,294,36,24.5,25,17.2,30.8,19.2,
2024,150,255,105,478,37.4,21.1,26.9,13.4,31.8,18.4,
2025,,,,,27.9,9.8,21.2,0.2,24,6.9,
