Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1930,,,,,,,,,,,
1931,,,,,,,,,,,
1932,,,,,,,,,,,
1933,,,,,,,,,,,
1934,,,,,,,,,,,
1935,,,,,,,,,,,
1936,,,,,,,,,,,
1937,,,,,,,,,,,
1938,,,,,,,,,,,
1939,,,,,,,,,,,
1940,,,,,,,,,,,
1941,,,,,,,,,,,
1942,,,,,,,,,,,
1943,,,,,,,,,,,
1944,,,,,,,,,,,
1945,,,,,,,,,,,
1946,,,,,,,,,,,
1947,,,,,,,,,,,
1948,,,,,,,,,,,
1949,,,,,,,,,,,
1950,,,,,,,,,,,
1951,,,,,,,,,,,
1952,,,,,,,,,,,
1953,,,,,,,,,,,
1954,,,,,,,,,,,
1955,,,,,,,,,,,
1956,,,,,,,,,,,
1957,,,,,,,,,,,
1958,,,,,,,,,,,
1959,,,,,,,,,,,
1960,,,,,,,,,,,
1961,,,,,,,,,,,
1962,,,,,,,,,,,
1963,,,,,,,,,,,
1964,,,,,,,,,,,
1965,,,,,,,,,,,
1966,,,,,,,,,,,
1967,,,,,,,,,,,
1968,,,,,,,,,,,
1969,,,,,,,,,,,
1970,,,,,,,,,,,
1971,,,,,,,,,,,
1972,,,,,,,,,,,
1973,,,,,,,,,,,
1974,,,,,,,,,,,
1975,,,,,,,,,,,
1976,,,,,,,,,,,
1977,,303,,759,,,,,,,
1978,135,319,184,1244,30.3,18.1,23.5,15.5,26.5,17,
1979,141,321,180,1327,30.2,18,23.4,14.8,27.2,16.8,
1980,127,286,159,1016,32,18.4,22.7,15.3,26.5,16.9,
1981,184,321,137,1164,31.4,18.6,21.6,15.3,28.6,16.8,
1982,115,291,176,970,29.7,18.6,24.3,15,27.2,16.9,
1983,165,286,121,1133,33.9,19,22.1,15.3,27.7,17.2,
1984,136,308,172,1028,30.7,19.2,20.9,15.5,26.3,16.7,
1985,132,294,162,1084,29.8,17.9,25.6,16,27.5,17,
1986,135,299,164,1078,29.8,19,21,15.3,26.7,17,
1987,151,298,147,874,32.5,19.3,26.3,15.3,29.8,17.4,
1988,131,307,176,980,31.2,17.9,22.5,15.5,28.3,16.5,
1989,135,276,141,1083,29.7,18.6,24,15.3,26.6,17.1,
1990,147,312,165,1009,32.5,21.8,23.7,15.5,28.7,17.5,
1991,133,293,160,1034,33,19.2,21.5,14.7,27.7,16.7,
1992,164,292,128,1111,,,,,,,
1993,173,281,108,774,33.9,,27,,31.4,,
1994,149,297,148,1138,32.4,20,26.1,16.5,29.8,17.9,
1995,161,307,146,1088,34.2,18.9,21.2,16.7,29,17.8,
1996,166,268,102,559,35.4,19.1,23.4,16,28.7,17.5,
1997,140,312,172,1501,31.1,19.5,23.8,17.1,27.1,18.3,
1998,149,310,161,1035,33.6,20.1,23.1,15.3,30.2,17.9,
1999,135,300,165,874,33.5,18.1,23.5,15.1,29.6,16.5,
2000,125,292,167,1202,29.6,18.1,21.4,15.3,26.6,17.2,
2001,159,295,136,903,33.2,19.7,24.2,13.6,29.4,17.7,
2002,134,312,178,1059,,,,,,,
2003,,312,,846,,,,,,,
2004,152,290,138,1065,30.8,19.8,20,16.5,26.3,17.6,
2005,174,305,131,854,38.1,20,26.6,15.4,31,17.6,
2006,137,275,138,1100,32.4,20,22,16.1,27.1,17.2,
2007,164,271,107,781,34.3,18,24.1,13.7,28.3,16.2,
2008,162,301,139,905,31.3,18.6,20.4,16.1,28.2,17.3,
2009,131,266,135,817,33,19,22.4,16.4,28.7,17.5,
2010,158,302,144,795,35,18,22.5,14.1,28.2,15.9,
2011,128,276,148,680,31.2,17.6,24,12.4,28,16.1,
2012,123,292,169,1162,34,18.4,25.9,13,29.5,15.4,
2013,166,311,145,1271,33,20.5,22.4,12.8,29.1,17.9,
2014,172,298,126,737,33.2,19.5,25.3,16.8,29.4,18.2,
2015,150,312,162,1102,33.6,20.1,24.5,17,29.2,18.4,
2016,155,297,142,875,36.8,19.5,21.8,12,28.3,17.3,
2017,132,311,179,1385,31,18.8,21.8,15,28.2,17.3,
2018,144,271,127,1017,30.8,19.2,21.4,15.6,26.9,17.8,
2019,146,296,150,1346,30.8,19.8,21.8,16.4,27.2,18.2,
2020,,304,,1037,31.6,19,22.6,16.5,27.5,17.5,
2021,172,308,136,1089,36.2,19,25.8,16,32.3,17.8,
2022,,301,,907,32.4,19.8,20.2,12.2,27.2,17.4,
2023,,314,,1148,34.2,20,21.8,16.9,29.6,18.7,
2024,145,307,162,852,34,19.8,23,16.8,30.7,18,
2025,,,,,29.9,15.5,20.1,8,25.7,11.1,
