Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1937,,,,,,,,,,,
1938,,,,,,,,,,,
1939,,,,,,,,,,,
1940,,,,,,,,,,,
1941,,,,,,,,,,,
1942,,,,,,,,,,,
1943,,,,,,,,,,,
1944,,,,,,,,,,,
1945,,,,,,,,,,,
1946,,,,,,,,,,,
1947,,,,,,,,,,,
1948,,,,,,,,,,,
1949,,,,,,,,,,,
1950,,,,,,,,,,,
1951,,,,,,,,,,,
1952,,,,,,,,,,,
1953,,,,,,,,,,,
1954,,,,,,,,,,,
1955,,,,,,,,,,,
1956,,,,,,,,,,,
1957,,,,,,,,,,,
1958,,,,,,,,,,,
1959,,,,,,,,,,,
1960,,305,,,,,,,,,
1961,124,303,0,1296,37.1,20.3,20.8,2.9,28.8,14.2,
1962,129,279,0,1117,36.7,19.8,22.1,1.7,29.1,13.6,
1963,125,270,0,912,35.8,19.4,20.5,0.3,29.4,13.4,
1964,132,287,0,970,36.1,19.6,20.8,1,29,13.2,
1965,136,286,0,1190,36.8,20.7,21.2,1.6,29.5,14.2,
1966,127,313,0,985,37.7,21.2,22.8,3.5,29.8,14.2,
1967,127,304,0,177,37.8,20.4,22.2,0.1,29.4,12.9,
1968,125,299,0,1177,37.6,19.6,23.1,3,30,13.9,
1969,132,270,0,1042,37.3,19,21.7,1.4,29.7,13.3,
1970,145,268,0,891,36.4,20.1,21.8,1.8,29.5,13.5,
1971,136,308,0,851,36.9,19,22.3,2.8,29.7,13.4,
1972,128,287,39,594,37.2,20.4,24.3,3.9,30.8,13.8,
1973,124,299,0,1161,,,,,,,
1974,129,287,0,1101,37,20.2,21,3.4,29.6,14,
1975,149,314,0,1088,37,20.4,18.2,2.5,29.3,13.8,
1976,126,289,22,861,,,,,,,
1977,141,315,0,1208,,,,,,,
1978,126,,0,868,,,,,,,
1979,134,289,0,1032,38,19,23.5,3.5,30.3,14.5,
1980,147,291,19,942,38,19.6,23,3,29.6,14,
1981,136,297,0,896,36.6,21.5,22.2,3,30.4,13.9,
1982,139,279,0,907,36.3,20.6,24,2,30.2,15,
1983,137,289,0,935,37.5,21,21.7,3.4,29.9,14.7,
1984,131,305,0,1123,37,21,21,1.7,29.5,14.4,
1985,126,297,25,1117,36.5,20.1,19.3,3.8,29.6,14.6,
1986,124,276,0,1005,36.8,20.8,23.2,3.2,30.4,14.3,
1987,130,305,22,1307,37.3,21.4,20.5,3.1,30.8,15.6,
1988,132,304,29,1199,37.5,19.5,23.1,2.8,30.3,14.2,
1989,127,300,0,1083,37.5,19.6,20.7,4.5,31,14.5,
1990,149,277,0,929,38,26,22.1,3,30.7,14.4,
1991,143,272,0,862,37.3,19.6,19.8,3,31.1,14,
1992,124,299,0,1090,37.6,21.7,18,2.2,30.9,15.5,
1993,134,302,0,833,,,,,,,
1994,130,274,0,677,38,21,21,0.9,31.4,14.6,
1995,143,275,0,816,39,21,21,1,31.1,15.3,
1996,148,281,0,1016,38.2,21.2,20,0,31.2,14.6,
1997,129,292,0,1109,38.8,21.7,20.2,-2.2,30.6,14.8,
1998,129,292,0,1001,,,,,,,
1999,134,,0,527,38.6,21.5,21.8,5.5,30.5,14.3,
2000,124,293,0,833,,,,,,,
2001,165,,0,633,,,,,,,
2002,128,299,0,1082,,,,,,,
2003,128,290,0,1062,39.5,21,20,3,30.9,14.5,
2004,154,298,0,144,,,,,,,
2005,,,,,,,,,,,
2006,,,,,,,,,,,
2007,,,,,,,,,,,
2008,,,,,,,,,,,
2009,,,,,,,,,,,
2010,,,,,,,,,,,
2011,,,,,,,,,,,
2012,,,,,,,,,,,
2013,,,,,,,,,,,
2014,140,302,0,162,38.2,,24.8,,31.3,,
2015,137,295,0,1082,38.5,,20,,31.8,,
2016,133,280,0,147,,,,,,,
2017,133,305,0,1098,40.4,21.8,23.8,5,31,15.8,
2018,147,291,0,,,,,,,,
2019,136,292,0,156,,,,,,,
2020,144,286,0,142,,,,,,,
2021,126,314,0,188,,,,,,,
2022,,,,,,,,,,,
2023,,,,,,,,,,,
