Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1949,,,,,,,,,,,
1950,,,,,,,,,,,
1951,,,,,,,,,,,
1952,,,,,,,,,,,
1953,,,,,,,,,,,
1954,,,,,,,,,,,
1955,,,,,,,,,,,
1956,,,,,,,,,,,
1957,,,,,,,,,,,
1958,,,,,,,,,,,
1959,,,,,,,,,,,
1960,,,,,,,,,,,
1961,,,,,,,,,,,
1962,,,,,,,,,,,
1963,,,,,,,,,,,
1964,,,,,,,,,,,
1965,,,,,,,,,,,
1966,,,,,,,,,,,
1967,,,,,,,,,,,
1968,,,,,,,,,,,
1969,,,,,,,,,,,
1970,,,,,,,,,,,
1971,,,,,,,,,,,
1972,,,,,,,,,,,
1973,,,,,,,,,,,
1974,,,,,,,,,,,
1975,,,,,,,,,,,
1976,,280,,541,,,,,,,
1977,153,315,162,1277,30.9,18.7,21.6,14.8,27.3,16.7,
1978,114,258,144,795,29.7,20.5,22,15.8,26.6,17.5,
1979,132,275,143,928,30.3,19.6,22.2,14.1,27.2,17.3,
1980,118,278,160,1312,29.9,19.2,21,14.7,26.9,17.2,
1981,170,264,94,673,33,19.5,21.8,13.8,29.4,17.1,
1982,145,247,102,996,31.5,19.2,23,14,28.7,17,
1983,135,269,134,730,30.6,19,24,13.8,27.8,17.1,
1984,132,290,158,1177,30.8,17.9,19.9,13,26,16.3,
1985,122,280,158,1113,30.1,19.2,21.9,15.6,26.7,17.4,
1986,,245,,602,32.5,20,23,13.5,28.6,16.6,
1987,158,274,116,670,31.2,20,26,16.6,28.9,18.5,
1988,151,264,113,878,31.1,18.4,21.9,15,27.6,16.9,
1989,154,253,99,862,34.6,19.6,21.8,15.8,29.4,17.8,
1990,162,266,104,796,,,,,,,
1991,161,245,84,498,32.8,18.7,25.3,13.3,29,16.6,
1992,140,269,129,968,32.9,,25.3,,29,,
1993,134,256,122,765,32.2,19.1,25.6,14.8,29.5,17.7,
1994,154,258,104,513,35,19.7,24.6,15,31.3,17.6,
1995,,275,,,,,,,,,
1996,140,298,158,1327,33.3,17,21,13.5,28.2,15,
1997,139,259,120,,33.3,17,21,13.5,28.2,15,
1998,,,,,,,,,,,
1999,,,,,,,,,,,
2000,,,,,,,,,,,
2001,,245,,,,,,,,,
2002,,295,,,,,,,,,
2003,169,278,109,929,,,,,,,
2004,,,,,,,,,,,
2005,,279,,,,,,,,,
2006,,269,,,,,,,,,
2007,,,,,,,,,,,
2008,,,,,,,,,,,
2009,140,,,,,,,,,,
2010,,,,,,,,,,,
2011,,245,,,,,,,,,
2012,,,,,,,,,,,
2013,,,,,,,,,,,
2014,,264,,,,,,,,,
2015,157,,,,34.5,,25.5,,30.9,,
2016,,278,,,,,,,,,
2017,,,,,31.3,19.9,24.6,15.2,28.4,17.8,
2018,,,,,,,,,,,
2019,,267,,758,33.5,18.6,24.1,12,30.2,14.7,
2020,,,,,,,,,,,
2021,,247,,,,,,,,,
2022,,284,,,,,,,,,
2023,134,245,111,528,32.2,19.1,25.6,14.8,29.5,17.7,
2024,121,254,133,380,35.2,20.6,24.6,11.9,32.4,17.6,
2025,,,,,30.2,17.4,23.4,6.8,27.1,10.1,
