Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1949,,300,,639,,,,,,,
1950,149,247,98,706,31.6,17.8,21.3,13.3,26.8,16.5,
1951,114,269,155,1233,29.8,,21.7,,26,,
1952,127,297,170,1077,31.8,,22.8,,27.9,,
1953,146,272,126,851,30.4,,22.5,,26.2,,
1954,130,274,144,1080,30.2,,23,,26.7,,
1955,145,310,165,1017,30,,22.4,,26.8,,
1956,128,278,150,847,29.9,,22.3,,26.2,,
1957,162,267,105,1056,33.4,,23.7,,27.8,,
1958,134,275,141,1091,32.9,,20.4,,27.7,,
1959,165,255,90,960,32.8,,21.2,,27.4,,
1960,131,290,159,1138,32.7,,24.1,,28.9,,
1961,130,298,168,1116,31.7,,23.7,,27.1,,
1962,130,278,148,1184,29.4,19.2,21.2,16.2,25.4,17.6,
1963,115,266,151,974,30.1,18.3,20.6,13.3,26.4,17,
1964,143,269,126,879,30.1,18.6,21.4,13.9,26.5,16.9,
1965,136,273,137,775,32.2,18.9,24.6,15.9,27.7,17.3,
1966,132,268,136,803,34.1,21,24.4,15.7,29.1,18.1,
1967,119,245,126,736,,,,,,,
1968,146,292,146,1422,,,,,,,
1969,110,245,135,841,,,,,,,
1970,128,262,134,833,,,,,,,
1971,138,256,118,763,,,,,,,
1972,166,265,99,687,,,,,,,
1973,123,286,163,1171,29.6,19.4,21.8,15.1,25.8,16.9,
1974,138,273,135,855,30.7,18.7,21.3,15.9,26.2,17.3,
1975,151,298,147,886,29.9,19,23.3,15.8,26.4,17.5,
1976,156,280,124,763,33.3,19.6,21.7,14.4,27.4,17.8,
1977,155,309,154,1269,,19.4,,16,,17.8,
1978,155,256,101,763,29.3,19.2,21.5,9.4,26,16.9,
1979,128,274,146,952,29.7,19.6,22.2,14.6,26.7,17.2,
1980,144,279,135,1267,30,19.4,20.7,15.7,26.2,17.3,
1981,170,261,91,640,34,20.5,24.5,14.5,30.3,17.9,
1982,144,271,127,927,32.3,19.2,22.2,15.8,28.8,17.7,
1983,135,266,131,746,30,19.4,23.8,15,27.4,17.8,
1984,133,254,121,1084,30.1,18.1,19.4,14.5,25.9,17,
1985,153,262,109,1000,29.8,18.6,21.3,16.1,26.4,17.3,
1986,182,246,64,663,32,19.4,22.4,13.9,28.3,17,
1987,152,274,122,633,31.4,19.4,25.5,16.4,28.3,18.2,
1988,151,266,115,822,31.1,19.4,21.8,14.3,27.5,17.2,
1989,154,255,101,845,33.2,19.6,20.5,16.8,29,18,
1990,139,254,115,765,32,19.8,21,11.6,28.6,17.9,
1991,107,248,141,618,32.2,19.8,23.4,15,27.8,17.8,
1992,139,283,144,1026,33.4,20.4,23.5,15,27.8,18.3,
1993,134,259,125,670,32.2,20.3,24.5,15,29,17.9,
1994,183,264,81,637,33.4,20.5,24.4,15.1,30,18.1,
1995,142,263,121,616,30.6,20.5,21.6,16.8,27.3,18.2,
1996,140,259,119,1071,31.6,20,21.5,16,27.3,17.8,
1997,139,264,125,626,30.3,20.5,21.5,16.2,27.1,18,
1998,144,287,143,1112,32,20,20.7,16.4,27.6,18,
1999,162,287,125,751,33.9,20.3,22.7,16.1,29.6,18.2,
2000,134,292,158,1257,30.1,19.1,22,15.8,26.6,17.2,
2001,138,245,107,557,31.5,21,25.4,16.4,28.6,18.4,
2002,164,295,131,1138,34.2,24.1,22.3,17.1,28.2,18.8,
2003,169,278,109,1016,,19.8,,16.7,,18.5,
2004,140,245,105,730,,22.4,,16.2,,18.5,
2005,,280,,997,30.6,20.3,22.5,13.4,28,17.8,
2006,158,271,113,1068,33.6,20.7,24.9,15.7,28.9,19,
2007,128,254,126,830,31.1,19.7,20,17.1,26.9,18.4,
2008,133,255,122,1113,30.8,20,22,13.7,28.2,18.1,
2009,142,309,167,1203,31.9,20.2,25,16.7,28.5,18.3,
2010,131,255,124,712,31.5,21.2,20.2,16.9,27.5,18.2,
2011,146,291,145,1349,32.3,20.1,25,17,29.3,18.6,
2012,149,264,115,816,34.2,21.2,20.7,17.1,28.5,18.5,
2013,164,273,109,605,35.2,20.7,26,16.9,30,18.8,
2014,163,267,104,691,35.3,21,24,16.9,30.1,19,
2015,145,269,124,580,35,20.8,26.1,17.5,30.4,19.2,
2016,143,281,138,950,,24.2,,16.4,,18.4,
2017,136,263,127,962,36.5,20.3,23.7,16.6,28.3,18.6,
2018,,245,,,34.3,20.3,21.1,12.6,29.3,18.2,
2019,135,268,133,1010,33.8,20.6,26.8,17.1,30.7,18.7,
2020,135,279,144,977,32.5,22.6,23.5,10,28.3,17.7,
2021,,252,,,35.8,21.9,26.6,11.8,31.8,19.5,
2022,126,260,134,990,33.2,19.6,22.7,16.8,28.5,18.1,
2023,167,269,102,829,36,22.8,23,17,31.1,20.1,
2024,121,270,149,1064,35.7,22,25,16.2,32,19.5,
2025,,,,,30,16,18.1,9.2,25.5,12.2,
