Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1941,,,,,,,,,,,
1942,,,,,,,,,,,
1943,,,,,,,,,,,
1944,,,,,,,,,,,
1945,,,,,,,,,,,
1946,,,,,,,,,,,
1947,,,,,,,,,,,
1948,,,,,,,,,,,
1949,,,,,,,,,,,
1950,,,,,,,,,,,
1951,,,,,,,,,,,
1952,,,,,,,,,,,
1953,,,,,,,,,,,
1954,,,,,,,,,,,
1955,,,,,,,,,,,
1956,,,,,,,,,,,
1957,,,,,,,,,,,
1958,,,,,,,,,,,
1959,,,,,,,,,,,
1960,,,,,,,,,,,
1961,,,,,,,,,,,
1962,,,,,,,,,,,
1963,,,,,,,,,,,
1964,,,,,,,,,,,
1965,,,,,,,,,,,
1966,,272,,890,,,,,26.8,13.1,
1967,124,255,131,1331,,,,,27.4,11.1,
1968,135,293,158,1756,,,,,27.8,12,
1969,136,294,158,1113,,,,,28.4,11.2,
1970,134,280,146,1414,,,,,27.7,11.4,
1971,108,307,199,1641,,,,,27.8,11.6,
1972,116,288,172,1183,,,,,28.1,11.7,
1973,126,319,193,1197,,,,,27.5,11.3,
1974,146,280,134,1276,,,,,28.5,11.7,
1975,138,296,158,1368,,,,,27.5,11.2,
1976,139,285,146,1201,,,,,28,11.2,
1977,126,300,174,1757,,,,,27.8,12.3,
1978,115,276,161,1356,,,,,27.8,11.8,
1979,112,290,178,1452,,,,,28,11.5,
1980,113,305,192,1179,,,,,27.8,10.9,
1981,148,277,129,894,,,,,28.3,11.4,
1982,112,301,189,1432,,,,,28.8,11.8,
1983,109,280,171,1100,,,,,28.7,11.5,
1984,129,320,191,1544,,,,,28.1,11.8,
1985,133,298,165,1274,,,,,28,11.5,
1986,116,273,157,1209,,,,,28.8,11,
1987,118,265,147,1014,,,,,30,11.6,
1988,133,291,158,1170,,,,,28.9,11.1,
1989,138,310,172,1077,,,,,29.2,11.7,
1990,112,282,170,1394,,,,,29.1,11.4,
1991,149,273,124,1032,,,,,29,11.3,
1992,139,286,147,1439,,,,,28.9,11.3,
1993,128,260,132,1054,,,,,29.2,10.5,
1994,123,267,144,1175,,,,,28.8,11.2,
1995,142,325,183,985,,,,,28.7,11.8,
1996,147,289,142,1204,,,,,29.2,11.5,
1997,139,272,133,1606,,,,,29.6,12.6,
1998,146,286,140,1186,,,,,28.6,11.6,
1999,143,286,143,1200,,,,,29.2,11.8,
2000,123,271,148,1644,,,,,28.9,11.8,
2001,123,292,169,1203,,,,,29.5,11.3,
2002,126,314,188,1492,,,,,29.2,12.1,
2003,153,296,143,1437,,,,,29,10.6,
2004,151,277,126,994,,,,,29.5,12,
2005,131,274,143,1387,,,,,29.5,12,
2006,135,282,147,1325,,,,,29.4,12.1,
2007,129,262,133,1303,,,,,28.9,11.8,
2008,129,313,184,1461,,,,,29.4,12,
2009,144,289,145,1272,,,,,29.3,12.3,
2010,145,270,125,1190,,,,,29,12,
2011,125,276,151,1519,,,,,28.9,11.4,
2012,125,267,142,1297,,,,,29.5,11.8,
2013,,304,,1048,,,,,27.9,13.3,
2014,108,290,182,1030,,,,,29.4,11.2,
2015,125,229,104,482,,,,,29.2,11.1,
2016,143,299,156,1330,,,,,29.1,12.6,
2017,119,267,148,1399,,,,,29.3,12.2,
2018,131,292,161,1257,,,,,29.2,12.8,
2019,151,276,125,1217,,,,,29.7,12.7,
2020,,,,45,,,,,29.6,9.1,
2021,120,295,175,1030,,,,,28.7,11.4,
2022,127,275,148,1453,,,,,29.4,12.3,
2023,153,241,88,823,,,,,30.9,13.1,
