Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1956,,,,,,,,,,,
1957,165,267,102,1182,37.4,23.3,19.9,4.4,29.1,15.2,
1958,152,268,116,812,37.4,22.3,20.3,3,28.6,13.7,
1959,166,321,155,769,37.1,23.1,20.6,3.4,28.5,13.7,
1960,174,293,119,754,37.2,21.2,20.3,1.3,28.7,14.6,
1961,160,305,145,811,36.9,20.4,19.3,4.4,27.5,14,
1962,144,267,123,978,37,20.5,20.8,2.5,27.6,14.2,
1963,143,259,116,638,37.8,21.9,20.6,-0.1,28.8,13.3,
1964,155,264,109,616,36.2,22.3,17.7,0.6,28.1,12.9,
1965,146,275,129,708,38.1,20.6,20.2,1.8,28.8,13.9,
1966,164,310,146,649,37.7,24,20.9,2.9,29.4,14.3,
1967,197,294,97,591,38.6,23,20.7,-2.3,29.2,13.2,
1968,139,293,154,781,,,,,,,
1969,157,257,100,596,36.2,21,21.3,3.8,28.7,14.4,
1970,139,252,113,816,37.7,22.8,20.6,2.7,28.9,14,
1971,154,284,130,965,36.2,22.7,18.9,2,28.6,14.3,
1972,210,269,59,659,,,,,,,
1973,170,277,107,797,,,,,,,
1974,140,265,125,900,,,,,,,
1975,152,313,161,874,36,22.8,18.7,1.8,27.4,14.3,
1976,159,265,106,510,36.4,22.4,20.7,1.8,28.4,14,
1977,149,306,157,1068,36.9,23.4,20.2,2.2,28.1,15.3,
1978,155,264,109,784,37.8,24.3,18.6,3.1,28.5,13.8,
1979,146,272,126,667,37.4,23,20,0.7,28.6,14.3,
1980,170,311,141,1042,35.5,22.4,18.7,1.4,27.9,14.5,
1981,179,261,82,816,37.8,23,19.5,2.9,29,14.1,
1982,206,307,101,470,35.6,23.5,19.3,2,29.6,14.8,
1983,157,281,124,443,36.8,22.1,18.6,3,29.6,14.7,
1984,154,270,116,639,37.5,23.4,21.6,3.1,28.7,14.8,
1985,155,317,162,746,35.6,23,20.2,2.4,28.2,14.6,
1986,201,272,71,478,36.2,22.6,17.2,0.6,29.3,13.9,
1987,151,269,118,561,40.4,23.1,19.1,0.9,29.8,15.3,
1988,170,277,107,1022,37.5,23.6,19.5,3.8,28.6,14.6,
1989,179,308,129,903,37.6,22.9,19.5,3.2,29.3,14.6,
1990,140,280,140,638,39.8,23.4,21.5,3.7,29.7,14,
1991,175,273,98,470,36.9,21.6,17.6,2.8,30.1,14,
1992,163,273,110,731,38.6,22.5,21.8,1.7,29.3,14.2,
1993,197,302,105,585,37.4,23.2,20.2,3.4,29.5,14.1,
1994,173,276,103,390,38.5,22.5,18.8,1.3,30,14.5,
1995,143,332,189,607,38.8,23,17.4,2.2,29.4,14.8,
1996,140,290,150,1006,38.2,23.1,18,2,29.2,14.8,
1997,138,274,136,658,39.5,22,17.5,3.4,29.5,14.6,
1998,148,268,120,882,39.3,22.5,21,3.5,29,14.8,
1999,192,312,120,731,37,23,20.3,5.5,28.1,15,
2000,154,286,132,855,36.6,23.6,19.3,3.5,28.2,14.3,
2001,140,311,171,797,36.5,21,19.8,1.1,29.3,14,
2002,164,297,133,918,,,,,,,
2003,139,294,155,616,,,,,,,
2004,180,271,91,497,,,,,,,
2005,145,278,133,902,,,,,,,
2006,,,,,,,,,,,
2007,,,,,,,,,,,
2008,171,,,,,,,,,,
2009,,303,,,,,,,,,
2010,,265,,,,,,,,,
2011,,,,,,,,,,,
2012,,,,,,,,,,,
2013,,289,,,,,,,,,
2014,,,,,,,,,,,
2015,,,,,,,,,,,
2016,,,,,,,,,,,
2017,,,,,,,,,,,
2018,,,,,,,,,,,
