Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1934,,,,,,,,,,,
1935,,,,,,,,,,,
1936,,,,,,,,,,,
1937,,,,,,,,,,,
1938,,,,,,,,,,,
1939,,,,,,,,,,,
1940,,,,,,,,,,,
1941,,,,,,,,,,,
1942,,,,,,,,,,,
1943,,,,,,,,,,,
1944,,,,,,,,,,,
1945,,,,,,,,,,,
1946,,,,,,,,,,,
1947,,,,,,,,,,,
1948,,,,,,,,,,,
1949,,,,,,,,,,,
1950,,,,,,,,,,,
1951,,,,,,,,,,,
1952,,,,,,,,,,,
1953,,,,,,,,,,,
1954,,,,,,,,,,,
1955,,,,,,,,,,,
1956,,,,,,,,,,,
1957,,,,,,,,,,,
1958,,,,,,,,,,,
1959,,,,,,,,,,,
1960,,,,,,,,,,,
1961,,,,,,,,,,,
1962,,,,,,,,,,,
1963,,,,,,,,,,,
1964,,,,,,,,,,,
1965,,,,,,,,,,,
1966,,,,,,,,,,,
1967,,,,,,,,,,,
1968,,,,,,,,,,,
1969,,,,,,,,,,,
1970,,,,,,,,,,,
1971,,,,,,,,,,,
1972,,,,,,,,,,,
1973,,,,,,,,,,,
1974,,,,,,,,,,,
1975,,,,,,,,,,,
1976,,,,,,,,,,,
1977,,,,,,,,,,,
1978,,,,,,,,,,,
1979,,,,,,,,,,,
1980,,,,,,,,,,,
1981,,,,,,,,,,,
1982,,,,,,,,,,,
1983,,,,,,,,,,,
1984,,,,,,,,,,,
1985,,,,,,,,,,,
1986,,,,,,,,,,,
1987,153,300,147,738,38,22,21.3,1.4,30.1,16.3,
1988,160,303,143,1006,36.2,21,21.5,2.6,29.4,15.7,
1989,138,285,131,616,,,,,,,
1990,138,288,150,940,38,21.1,22.8,3.2,30.4,15.5,
1991,140,284,123,537,,,,,,,
1992,126,290,164,1073,37.5,22.5,22.5,5.7,30.1,15.9,
1993,130,268,138,718,37.1,21.1,19.4,2,29.9,15.6,
1994,,282,,,,,,,,,
1995,155,267,112,562,38,22.8,20.6,5.5,31.3,15.1,
1996,142,282,140,176,39.1,20.7,21.2,3,31.4,15.2,
1997,136,275,139,706,39.7,23,23.3,6.5,31.9,16,
1998,134,287,129,767,,,,,,,
1999,,295,,,,,,,,,
2000,154,294,140,1008,39.2,21.2,21.3,6,30.7,16.1,
2001,131,308,177,747,37.7,22,24,4,31.2,15.7,
2002,148,300,152,1089,39.4,21.2,20.5,6.6,31.3,15.9,
2003,135,293,158,1484,,,,,,,
2004,154,294,140,631,38.8,21.7,23.4,5.2,32.1,16.1,
2005,134,294,160,,,,,,,,
2006,140,,,,,,,,,,
2007,155,268,113,,,,,,,,
2008,141,,,,,,,,,,
2009,127,279,152,,,,,,,,
2010,,,,,,,,,,,
2011,,,,,,,,,,,
2012,147,,,,,,,,,,
2013,,,,,,,,,,,
2014,152,300,148,,,,,,,,
2015,157,285,128,672,40.3,,23.4,,31.6,,
2016,128,317,189,1120,,,,,,,
2017,133,307,174,1087,40.1,22,22,7.8,30.1,16.6,
2018,151,302,151,483,38.1,21,21.2,7.4,31.5,15.9,
2019,149,289,140,981,39,24.5,24,7,30.8,16.6,
2020,134,,,,,,,,,,
2021,126,311,185,,,,,,,,
2022,126,276,150,682,38.9,23,23.6,7.5,31,16.4,
2023,,288,,,,,,,,,
